Table 1.1: Statewise Estimated Reserves of Coal (As on 1st April)
Unit: (in Million Tonnes) | Publication pages: 10

States/ UTs,Proved 2023,Proved 2024,Indicated 2023,Indicated 2024,Inferred 2023,Inferred 2024,Total 2023,Total 2024,Distribution (%) 2023,Distribution (%) 2024
Andhra Pradesh,1025,1025,2369,2369,778,778,4172,4172,1.10,1.07
Arunachal Pradesh,31,31,40,40,19,19,90,90,0.02,0.02
Assam,465,465,57,57,3,3,525,525,0.14,0.13
Bihar,310,2346,5040,3015,48,37,5398,5398,1.43,1.39
Chhattisgarh,37236,40078,42294,41093,1244,1495,80774,82666,21.36,21.23
Jharkhand,55749,59877,26994,27135,5095,4799,87838,91812,23.22,23.58
Madhya Pradesh,15279,15425,12457,12379,4482,5011,32219,32815,8.52,8.43
Maharashtra,8065,8163,3425,3372,1847,1817,13336,13352,3.53,3.43
Meghalaya,89,96,17,17,471,471,576,583,0.15,0.15
Nagaland,9,9,22,22,448,448,478,478,0.13,0.12
Odisha,52046,53799,37536,39053,4936,6351,94519,99204,24.99,25.47
Sikkim,0,0,58,58,43,43,101,101,0.03,0.03
Telangana,11257,11257,8497,8497,3433,3452,23186,23206,6.13,5.96
Uttar Pradesh,884,884,178,178,0,0,1062,1062,0.28,0.27
West Bengal,17459,18752,12699,11433,3775,3773,33933,33958,8.97,8.72
All India Total,199904,212207,151682,148717,26621,28498,378207,389421,100,100
Distribution (%),52.86,54.49,40.11,38.19,7.04,7.32,100,100,,

Note: Total may not tally due to rounding off
Note: Source: Ministry of Coal
