Table 1.2: Statewise Estimated Reserves of Lignite(As on 1st April)
Unit: (in Million Tonnes) | Publication pages: 10

States/ UTs,Proved 2023,Proved 2024,Indicated 2023,Indicated 2024,Inferred 2023,Inferred 2024,Inferred 2023 (2),Total 2024,Distribution (%) 2023,Distribution (%) 2024
Gujarat,1279,1279,284,284,1160,1160,2722,2722,5.75,5.76
Jammu & Kashmir,0,0,20,20,7,7,28,28,0.06,
,,,,,,,,,,0.06
Kerala,0,0,0,0,10,10,10,10,0.02,0.02
Odisha,6,6,0,0,0,0,6,6,0.01,0.01
Puducherry,0,0,406,406,11,11,417,417,0.88,0.88
Rajasthan,1204,1204,3109,3109,2274,2274,6586,6586,13.90,13.93
Tamil Nadu,5023,5476,21885,21412,10688,10635,37597,37524,79.37,79.34
West Bengal,0,0,1,1,3,3,4,4,0.01,0.01
All India,7512,7964,25704,25231,14153,14100,47369,47296,100,100
Distribution (%),15.86,16.84,54.26,53.35,29.88,29.81,100,100,,

Note: Total may not tally due to rounding off
Note: Source: Ministry of Coal
