Table 1.3: Statewise Estimated Reserves of Crude Oil and Natural Gas (As on 1st April)
Publication pages: 11

States/ UTs/ Region,Estimated Reserves,Tonnes) 2023 Distribution (%),Crude Oil (Million Tonnes) Distribution Estimated Reserves (%),Crude Oil (Million Tonnes) Distribution (%),Crude Oil (Million Tonnes) Estimated Reserves,Natural Gas (Billion Cubic Metres) Distribution (%),Natural Gas (Billion Cubic Metres) Estimated Reserves,Metres) 2024 Distribution (%)
Andhra Pradesh,11.11,1.66,7.69,1.15,63.16,5.53,59.27,5.42
Arunachal Pradesh,2.97,0.44,2.88,0.43,7.24,0.63,7.33,0.67
Assam,148.13,22.13,145.41,21.66,165.68,14.51,164.51,15.03
Gujarat,120.33,17.97,118.86,17.70,56.60,4.96,55.46,5.07
Nagaland,2.38,0.36,2.38,0.35,0.09,0.01,0.09,0.01
Rajasthan,116.68,17.43,131.50,19.59,63.96,5.60,63.55,5.81
Tamil Nadu,8.72,1.30,8.54,1.27,37.54,3.29,36.57,3.34
Tripura,0.07,0.01,0.07,0.01,28.93,2.53,28.18,2.58
West Bengal,0.11,0.02,0.15,0.02,0.00,0.00,0.00,0.00
West Bengal (CBM),0.00,0.00,0.00,0.00,79.33,6.95,44.37,4.06
Jharkhand (CBM),0.00,0.00,0.00,0.00,4.87,0.43,4.86,0.44
Madhya Pradesh (CBM),0.00,0.00,0.00,0.00,25.18,2.21,24.38,2.23
Eastern Offshore,40.54,6.06,40.67,6.06,262.36,22.98,263.34,24.07
Western Offshore,218.42,32.63,213.26,31.76,346.80,30.37,342.29,31.28
Total,669.47,100.00,671.40,100.00,1141.73,100.00,1094.19,100.00

"Note: CBM : Cold Bed Methane (Jharkhand, West Bengal and M.P.)"
Note: 1. Western offshore includes Gujarat offshore
Note: 2. Total may not tally due to rounding off
Note: Source: M/o Petroleum & Natural Gas
