Table 1.4: Sourcewise and Statewise Estimated Potential of Renewable Power in India (as on 31.03.2024)
Unit: (in MW) | Publication pages: 12

Item,Sl. No.,Wind Power States/ UTs @ 150m,Small Hydro States/ UTs Power*,Biomass States/ UTs Power,Cogeneration- States/ UTs bagasse,Cogeneration- Solar Energy bagasse,Cogeneration- Large Hydro# bagasse,Cogeneration- Total bagasse,Distribution (%)
Andhra Pradesh,1,123336,409,1999,280,38440,2596,167060,7.92
Arunachal Pradesh,2,246,2065,18,0,8650,50394,61373,2.91
Assam,3,459,202,322,0,13760,643,15386,0.73
Bihar,4,4023,527,964,347,11200,130,17191,0.81
Chhattisgarh,5,2749,1098,354,0,18270,1311,23782,1.13
Goa,6,14,5,33,0,880,0,932,0.04
Gujarat,7,180790,202,2638,555,35770,550,220505,10.45
Haryana,8,593,107,1353,362,4560,0,6976,0.33
Himachal Pradesh,9,239,3460,70,0,33840,18305,55914,2.65
J& K(including,10,,,,,,,,
,,1 (Ladakh),1707,83,0,111050,12972,125813,
Ladakh),,,,,,,,,5.96
Jharkhand,11,16,228,146,0,18180,300,18870,0.89
Karnataka,12,169251,3726,1794,1762,24700,4414,205648,9.75
Kerala,13,2621,647,778,0,6110,2473,12629,0.60
Madhya Pradesh,14,55423,820,2516,0,61660,2819,123239,5.84
Maharashtra,15,173868,786,2630,3917,64320,3144,248665,11.79
Manipur,16,0,100,62,0,10630,615,11407,0.54
Meghalaya,17,55,230,69,0,5860,2026,8240,0.39
Mizoram,18,0,169,3,0,9090,1927,11189,0.53
Nagaland,19,0,182,54,0,7290,325,7851,0.37
Odisha,20,12129,286,299,0,25780,2825,41318,1.96
Punjab,21,428,578,3022,414,2810,1301,8554,0.41
Rajasthan,22,284250,52,1300,0,142310,411,428322,20.30
Sikkim,23,0,267,5,0,4940,6051,11262,0.53
Tamil Nadu,24,95107,604,1560,639,17670,1785,117366,5.56
Telangana,25,54717,102,1678,117,20410,1302,78327,3.71
Tripura,26,0,47,34,0,2080,0,2161,0.10
Uttar Pradesh,27,510,461,2800,4926,22830,502,32028,1.52
Uttarakhand,28,49,1664,93,215,16800,13481,32303,1.53
West Bengal,29,1281,392,1742,0,6260,809,10484,0.50
Andaman & Nicobar,30,1245,7,18,0,0,0,1270,0.06
Chandigarh,31,0,0,0,0,0,0,0,0.00
"Dadar & Nagar Haveli,",32,,,,,,,,
,,17,0,2,0,0,0,19,
Daman & Diu,,,,,,,,,0.00
Delhi,33,0,0,0,0,2050,0,2050,0.10
Lakshadweep,34,31,0,1,0,0,0,32,0.00
Puducherry,35,408,0,5,0,0,0,413,0.02
Others$,36,0,0,0,284,790,0,1074,0.05
All India Total,,1163856,21134,28447,13818,748990,133410,2109655,100
Distribution (%),,55.17,1.00,1.35,0.66,35.50,6.32,100.00,

Note: $ Others includes installations through NGOs/IREDA in different states
"Note: *capacity upto 25 MW, # capacity > 25 MW"
Note: Source: Ministry of New and Renewable Energy
