Table 2.1: Installed Capacity of Coal Washeries (as on 31.03.2024)
"Publication pages: 19, 20"

Washery & Operator State COKING COAL :,Sl. No.,Capacity (MTY)
"Dudga-II, CIL Jharkhand",1,2.00
"Patherdih, CIL Jharkhand",2,5.00
"Moonidih, CIL Jharkhand",3,1.60
"Sudamdih, CIL Jharkhand",4,1.60
"Mahuda, CIL Jharkhand",5,0.63
"Madhuban,CIL Jharkhand",6,2.50
"Kathara, CIL Jharkhand",7,3.00
"Swang, CIL Jharkhand",8,0.75
"Rajrappa, CIL Jharkhand",9,3.00
"Kedla, CIL Jharkhand",10,2.60
"Nandan, CIL Madhya Pradesh",11,1.20
"Bhojudih, CIL West Bengal",12,1.70
"DahibarI, CIL Jharkhand",13,1.60
"Patherdih-New (NLW) , CIL Jharkhand",14,5.00
"Madhuband 5MTPA, CIL Jharkhand",15,5.00
(A) CIL,,37.18
"Chasnala, IISCO Jharkhand",16,2.04
"Jamadoba, TISCO Jharkhand",17,2.00
"West Bokaro-II, TISCO Jharkhand",18,2.50
"West Boakaro-III,TISCO Jharkhand",19,4.50
"Bhelatand, TISCO Jharkhand",20,1.50
(B) PSU & Private,,12.54
TOTAL COKING (A + B),,49.72
"Piparwar,CIL Jharkhand",1,6.50
Bina ( De-Shaling Plant) CIL Uttar Pradesh,2,4.50
"Lakanpur IB Vallley Coal Washery , CIL Odisha",3,10.00
(A) CIL,,21.00
"MDCWL, Dakra, Ranchi Jharkhand",4,3.50
Sarshatali Coal Washery West Bengal,5,1.50
"Dipka, Aryan coal beneficiation pvt. Ltd. Chattisgarh",6,14.00
"Gevra, Aryan coal beneficiation pvt. Ltd. Chattisgarh",7,6.25
"Chakabuwa, Aryan Energy private ltd. Chattisgarh",8,7.50
"Binjhari, Aryan Energy private ltd. Chattisgarh",9,4.80
"Tamnar, Jindal Steel & Power Ltd.(Unit1) Chattisgarh",10,4.75
"Ratija, Spectrum Coal & Power Ltd. Chattisgarh",11,11.00
Maruti Clean Coal Chattisgarh,12,3.30
Jindal Power Limited(JPL) (Unit 2) Chattisgarh,13,3.20
Jindal Power Limited(JPL) (Unit 3) Chattisgarh,14,3.60
Parsa East and Kanta Basan Coal Washery Chattisgarh,15,15.00
"ACB(India) Ltd,Renki Washery",16,
( formerly S.V.Power Pvt Ltd.) Chattisgarh,,2.50
Chattisgarh Power & Coal Benefication Ltd. Chattisgarh,17,1.25
"Hind Energy & Coal Benefication (India) Ltd, Baloda Chattisgarh",18,0.96
"Hind Energy & Coal Benefication (India) Ltd., Gatora Chattisgarh",19,0.96
"Hind Multi Services Private Limited, Birghani, Janjgir Chattisgarh",20,0.96
"Clean Coal Enterprises Pvt. Ltd.,Gatora (Unit-1,2 &3) Chattisgarh",21,4.42
"Hind Multi Services Private Limited, Hindadih,",22,
Chattisgarh,,3.60
"Bilaspur Sambhavi Coal Benefication Pvt. Ltd., Gatora Chattisgarh",23,0.90
Bhatia Energy & Minerals Pvt Ltd Coal Washery Chattisgarh,24,5.00
KJSL Coal & Power Pvt. Ltd. Chattisgarh,25,4.10
K L Energy & Coal Beneficiation Pvt. Ltd. Chattisgarh,26,0.90
"Mahavir Coal Washeries Pvt. Ltd., Baloda (Unit I) Chattisgarh",27,0.95
"Mahavir Coal Washeries Pvt. Ltd,Baloda. (Unit II) Chattisgarh",28,0.96
Mahavir Coal Washeries Pvt. Ltd. Chattisgarh,29,2.48
"Mahavir Coal Washeries Pvt. Ltd.,Sakri Belmundi Chattisgarh",30,0.95
"Paras Power & Coal Benefication Ltd., Ghutku Chattisgarh",31,0.96
"Paras Power & Coal Benefication Ltd., Ghutku Chattisgarh",32,2.50
"Phil Coal Benefication Pvt. Ltd, Ghutku Washery Chattisgarh",33,2.50
"Phil Coal Benefication Pvt. Ltd, Tenda Washery Chattisgarh",34,0.90
Radiant coal beneficiation Pvt Ltd,35,
