Table 2.2: Installed Capacity and Utilization of Refineries of Crude Oil
Publication pages: 21

Sl. No. 1,Refinery 2,Refinery Capacity (TMTPA) 31.03.2022 3,Refinery Capacity (TMTPA) 31.03.2023 31.03.2024 4,Refinery Capacity (TMTPA) 31.03.2023 31.03.2024 5,(TMTPA) 2022-23 6,(TMT) 2023-24 (P) 7,Utilisation (%) 2022-23 8,Utilisation (%) 2023-24 (P) 9,Capacity Utilisation (%) Change in Utilisatio n 10
(a),PUBLIC SECTOR,151716,154416,157316,161500,165885,106.45,107.43,0.98
,"IOCL, Guwahati, Assam",1000,1000,1200,1080,1000,107.97,100.05,-7.92
,"IOCL, Barauni, Bihar",6000,6000,6000,6785,6618,113.09,110.29,-2.79
,"IOCL, Koyali, Gujarat",13700,13700,13700,15567,15202,113.63,110.96,-2.66
,"IOCL, Haldia, West Bengal",8000,8000,8000,8506,8060,106.33,100.74,-5.59
,"IOCL, Mathura, Uttar Pradesh",8000,8000,8000,9573,9191,119.66,114.88,-4.78
,"IOCL, Digboi, Assam",650,650,650,713,710,109.68,109.26,-0.42
,"IOCL, Panipat, Haryana",15000,15000,15000,13810,14305,92.07,95.36,3.30
,"IOCL, Bongaigaon, Assam",2700,2700,2700,2775,3009,102.78,111.44,8.66
,"IOCL, Paradip, Odisha",15000,15000,15000,13599,15213,90.66,101.42,10.77
,Total IOC,70050,70050,70250,72408,73308,103.37,104.65,1.28
,"BPCL, Mumbai, Maharashtra",12000,12000,12000,14546,15052,121.22,125.43,4.21
,"BPCL, Kochi, Kerala",15500,15500,15500,16017,17314,103.33,111.70,8.37
,"BPCL, Bina, Madhya Pradesh",7800,7800,7800,7841,7133,100.52,91.45,-9.08
,Total BPCL,35300,35300,35300,38404,39499,108.79,111.89,3.10
,"HPCL, Mumbai, Maharashtra",9500,9500,9500,9804,9639,103.20,101.46,-1.74
,"HPCL, Visakh, Andhra Pradesh",8300,11000,13700,9287,12689,111.89,115.35,3.47
,Total HPCL,17800,20500,23200,19091,22328,107.25,108.92,1.66
,"CPCL, Manali, Tamil Nadu",10500,10500,10500,11316,11642,107.77,110.88,3.11
,Total CPCL,10500,10500,10500,11316,11642,107.77,110.88,3.11
,"NRL, Numaligarh, Assam",3000,3000,3000,3091,2510,103.05,83.66,-19.39
,"MRPL, Mangalore, Karnataka",15000,15000,15000,17116,16533,114.11,110.22,-3.89
,"ONGC, Tatipaka, Andhra Pradesh",66,66,66,74,65,111.40,99.10,-12.29
(b),PRIVATE SECTOR & JVs SECTOR,99500,99500,99500,93733,95660,94.20,96.14,1.94
,"RIL, Jamnagar, Gujarat",33000,33000,33000,34433,34390,104.34,104.21,-0.13
,"RIL, SEZ-Jamnagar, Gujarat",35200,35200,35200,27872,28300,79.18,80.40,1.22
,Nyara Energy Ltd. Vadinar,20000,20000,20000,18692,20322,93.46,101.61,8.15
,"HMEL, GGS, Bathinda, Punjab",11300,11300,11300,12735,12648,112.70,111.93,-0.77
,Total (a+b),251216,253916,256816,255233,261545,101.60,103.00,1.41

"Note: CPCL, Narimanam, Tamil Nadu - - - - - - - -"
Note: 1.Total may not tally due to rounding off (P): Provisional
Note: 2. Crude throughput in terms of crude oil processed.
Note: 3. Capacity utilisation is equal to crude oil processsed in during year divided by refineing capacity at the 1st April of initial of year*100
Note: Source: M/o Petroleum & Natural Gas
