Table 2.3 (A) : Yearwise Installed Capacity of Electicity Generation in Utilities and Non-Utilities
Unit: (in Mega Watt = 103 Kilo Watt ) | Publication pages: 22

Item,Value 1,Thermal,Thermal (2),Thermal (3),Utilities Large Hydro,Nuclear,RES*,Total
As on 1,Steam 2,Diesel 3,Gas 4,Total 5,6,7,8,9
31.03.2014,145273,1200,21782,168255,40531,4780,34988,248554
31.03.2015,164636,1200,23062,188898,41267,5780,38959,274904
31.03.2016,185173,994,24509,210675,42783,5780,45924,305162
31.03.2017,192163,838,25329,218330,44478,6780,57244,326833
31.03.2018,197172,838,24897,222907,45293,6780,69022,344002
31.03.2019,200705,638,24937,226279,45399,6780,77642,356100
31.03.2020,205135,510,24955,230600,45699,6780,87028,370106
31.03.2021,209295,510,24924,234728,46209,6780,94434,382151
31.03.2022,210700,510,24900,236109,46723,6780,109885,399497
31.03.2023,211856,589,24824,237269,46850,6780,125160,416059
31.03.2024 (P),217589,589,25038,243217,46928,8180,143645,441970
Growth rate of,,,,,,,,
2023-24 over,2.71,0.03,0.86,2.51,0.17,20.65,14.77,6.23
2022-23(%),,,,,,,,
CAGR 2014-15,3.15,-7.60,0.92,2.85,1.44,3.93,15.60,5.42
CAGR: Compound Annual Growth Rate =((Current Value/Base Value)^(1/nos. of years)-1)*100,,,,,,,,

Note: to 2023-24(%)
"Note: * RES= Comprising of Solar, Wind, Bio-Power and Small Hydro Power (P): Provisional"
Note: Capacity in respect of Self Generating Industries includes units of capacity 1 MW and above.
Note: Source : Central Electricity Authority.
