Table 2.3 (B) : Yearwise Installed Capacity of Electicity Generation in Utilities and Non-Utilities
Unit: (in Mega Watt = 103 x Kilo Watt ) | Publication pages: 23

As on,Steam 10,Thermal Diesel 11,Thermal Gas 12,Non-Utilities Thermal Total 13,Non-Utilities Large Hydro 14,RES* 15,Total 16,Grand Total (Utility + Non-Utility) 17= 9+16
31.03.2014,24752,11432,4751,40935,64,1259,42258,290812
31.03.2015,26089,12009,5193,43291,65,1301,44657,319561
31.03.2016,28688,12347,5819,46853,59,1368,48279,353442
31.03.2017,30572,13350,6109,50031,65,1433,51529,378362
31.03.2018,32854,13145,7156,53155,51,1726,54933,398935
31.03.2019,47679,15571,8787,72037,103,3067,75207,431307
31.03.2020,51543,12775,7316,71633,131,4475,76239,446346
31.03.2021,47760,17563,7361,72683,131,5694,78508,460659
31.03.2022,45303,18649,5685,69637,135,6961,76732,476229
31.03.2023,46782,18078,6360,71220,132,7047,78400,494459
31.03.2024(P),46900,18300,6500,71700,140,7500,79340,521310
Growth rate of,,,,,,,,
2023-24 over,0.25,1.23,2.20,0.67,5.85,6.42,1.20,5.43
2022-23(%),,,,,,,,
CAGR 2014-15,6.73,4.79,2.52,5.77,8.88,21.49,6.59,5.59
CAGR: Compound Annual Growth Rate =((Current Value/Base Value)^(1/nos. of years)-1))*100,,,,,,,,

Note: to 2023-24(%)
"Note: * RES=Comprising of Solar, Wind, Bio-Power and Small Hydro Power (P): Provisional"
Note: Capacity in respect of Self Generating Industries includes units of capacity 1 MW and above.
Note: Source : Central Electricity Authority.
