Table 2.4 : Regionwise and Statewise Installed Capacity of Electricity Generation (Utilities)
Unit: (in GW) | Publication pages: 24

States/UTs,Large Hydro 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024,Large Hydro 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 (2),Large Hydro Thermal 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024,Thermal 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024,Thermal Nuclear 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024,Nuclear 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024,Nuclear RES* 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024,RES* 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024,RES* 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 (2),Total 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024,( 2022-23 to 2023-24) (%)
Chandigarh,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.06,0.07,11.64
Delhi,0.00,0.00,2.36,2.36,0.00,0.00,0.30,0.34,2.66,2.70,1.44
Haryana,0.20,0.20,4.82,4.82,0.00,0.00,1.36,1.83,6.38,6.85,7.38
Himachal Pradesh,2.91,2.91,0.00,0.00,0.00,0.00,1.07,1.08,3.98,3.99,0.19
Jammu & Kashmir,1.23,1.23,0.18,0.18,0.00,0.00,0.24,0.29,1.65,1.69,2.50
Punjab,1.24,1.24,6.92,6.92,0.00,0.00,1.87,2.07,10.03,10.24,2.01
Rajasthan,0.43,0.43,11.63,11.93,0.00,0.00,22.05,26.35,34.12,38.71,13.47
Uttar Pradesh,0.72,0.72,13.34,14.44,0.00,0.00,4.75,5.17,18.82,20.33,8.05
Uttarakhand,2.20,2.20,0.55,0.76,0.00,0.00,0.93,0.94,3.68,3.90,5.89
Central Sector NR,11.53,11.61,15.54,15.54,1.62,1.62,0.38,0.38,29.08,29.16,0.27
Sub-Total (NR),20.48,20.56,55.34,56.95,1.62,1.62,33.01,38.49,110.46,117.63,6.49
Chhattisgarh,0.12,0.12,16.01,16.01,0.00,0.00,1.30,1.56,17.43,17.69,1.51
Gujarat,0.77,0.77,20.23,20.23,0.00,0.00,19.19,25.23,40.19,46.23,15.02
Madhya Pradesh,1.70,1.70,11.20,11.25,0.00,0.00,5.61,6.80,18.51,19.75,6.69
Maharashtra,3.33,3.33,22.26,22.41,0.00,0.00,12.63,14.36,38.22,40.10,4.91
Daman & Diu,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.04,0.05,13.31
