Table 2.5: State-wise cumulative Installed Capacity of Renewable Power
Publication pages: 25

Item,S. No.,Small Hydro Power STATES / UTs (MW) 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023,Small Hydro Power (MW) 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023,Wind Power (MW) 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023,Wind Power (MW) 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 (2),Bio-Power-BM Power/Cogen. Bagasse (MW) 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023,Bio-Power-BM Power/Cogen. Bagasse (MW) 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 (2),Bio-Power-BM Waste to Energy (MW) 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023,Bio-Power-BM Waste to Energy (MW) 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 (2),Bio-Power-BM Solar Power (MW) 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023,Bio-Power-BM Solar Power (MW) 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 (2),Bio-Power-BM Solar Power Total Capacity (MW) 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023,Bio-Power-BM Total Capacity (MW) 31.03.2024,to 2023-24) 31.03.2024
Andhra Pradesh,1,163.31,163.31,4096.65,4096.65,483.67,491.67,82.36,82.72,4534.19,4584.98,9360,9419,0.63
Arunachal Pradesh,2,133.11,133.11,,,0.00,0.00,0.00,0.00,11.64,11.79,145,145,0.10
Assam,3,34.11,34.11,,,2.00,2.00,0.00,0.00,147.93,156.18,184,192,4.48
Bihar,4,70.70,70.70,,,124.70,138.90,1.32,1.32,192.88,239.23,390,450,15.54
Chhatisgarh,5,76.00,76.00,,,274.59,274.59,0.41,0.41,948.82,1212.39,1300,1563,20.28
Goa,6,0.05,0.05,,,0.00,0.00,0.34,1.94,26.49,43.48,27,45,69.16
Gujarat,7,91.64,91.64,9978.92,11722.72,77.30,77.30,33.43,35.18,9254.56,13544.88,19436,25472,31.06
Haryana,8,73.50,73.50,,,240.66,262.66,18.77,21.04,1029.16,1475.72,1362,1833,34.57
Himachal Pradesh,9,969.71,969.71,,,9.20,9.20,1.00,1.00,87.49,95.23,1067,1075,0.73
Jammu & Kashmir,10,146.68,169.93,,,0.00,0.00,0.00,0.00,49.44,65.44,196,235,20.01
Jharkhand,11,4.05,4.05,,,4.30,19.10,0.00,0.00,105.84,162.40,114,186,62.49
Karnataka,12,1280.73,1280.73,5294.95,6019.61,1887.30,1887.30,14.85,20.42,8241.40,8544.68,16719,17753,6.18
Kerala,13,266.52,276.52,62.50,63.50,2.27,2.27,0.23,0.23,761.43,1022.79,1093,1365,24.92
Ladakh,14,40.99,42.99,,,0.00,0.00,0.00,0.00,7.80,7.80,49,51,4.10
Madhya Pradesh,15,123.71,123.71,2844.29,2844.29,107.35,107.35,27.59,27.59,2802.14,3995.43,5905,7098,20.21
Maharashtra,16,381.08,382.28,5012.83,5207.98,2584.40,2584.40,56.29,58.79,4722.90,6249.67,12758,14483,13.53
Manipur,17,5.45,5.45,,,0.00,0.00,0.00,0.00,12.28,13.04,18,18,4.29
Meghalaya,18,32.53,55.03,,,13.80,13.80,0.00,0.00,4.15,4.24,50,73,44.75
Mizoram,19,45.47,45.47,,,0.00,0.00,0.00,0.00,28.02,30.31,73,76,3.12
Nagaland,20,32.67,32.67,,,0.00,0.00,0.00,0.00,3.04,3.17,36,36,0.36
Odisha,21,115.63,115.63,,,59.22,59.22,0.00,0.00,453.17,495.63,628,670,6.76
