Table 2.6 : Installation of Off-grid / Decentralised Renewable Energy Systems/ Devices as on 31.03.2024
Publication pages: 26

Item,Sl. No. 1,Biogas Plants State/UT (Nos),SPV Pumps State/UT (Nos) (Nos.),Solar Photovoltaic (SPV) Systems State/UT SLS (Nos.) 5,Solar Photovoltaic (SPV) Systems State/UT HLS (Nos.) 6,Solar Photovoltaic (SPV) Systems State/UT SL (Nos.) 7,Solar Photovoltaic (SPV) Systems State/UT PP (KWP) 8,Waste to Energy (off Grid)(MW)
Andhra Pradesh,1,268628,34045,16460,22972,77803,3816,30
Arunachal Pradesh,2,3686,221,25008,35065,218551,963,
Assam,3,139435,45,29538,46879,647761,1605,
Bihar,4,130091,2813,54147,12303,1735227,6905,1
Chhattisgarh,5,60717,119282,4538,42232,3311,31373,0
Goa,6,4245,45,707,393,1093,33,
Gujarat,7,438320,14920,5004,9253,31603,13577,28
Haryana,8,64092,88937,34625,56727,93853,2321,10
Himachal Pradesh,9,47718,644,98800,22592,33909,1906,1
Jammu & Kashmir,10,3201,877,39076,144316,51224,8130,
Jharkhand,11,7890,17655,14344,9450,790515,3770,
Karnataka,12,516091,7734,5694,52638,7781,7854,19
Kerala,13,154879,826,1735,41912,54367,16268,0
Ladakh,14,-,-,-,-,-,-,
Madhya Pradesh,15,383347,25138,16808,7920,529101,3654,12
Maharashtra,16,939275,91408,10420,3497,239297,3858,46
Manipur,17,2128,118,32767,24583,69722,1581,
Meghalaya,18,11156,101,5800,14874,97360,2004,
Mizoram,19,5857,37,20325,12060,155217,3895,
Nagaland,20,7954,68,16045.0,1045.0,30766.0,1506.0,
Odisha,21,271932,10962,19109.0,5274.0,99843.0,2321.5,
Punjab,22,189148,17534,43758,8626,17495,2066,25
Rajasthan,23,73145,118784,8934.0,187968.0,225851.0,30449.0,4.4
Sikkim,24,9044,-,504,15059,45200,850,
Tamil Nadu,25,224148,8695,41419,298641,16818,13053,26
Telangana,26,316870,424,2458,-,142000,7450,14
Tripura,27,4132,2268,15517,32723,364012,867,
Uttar Pradesh,28,441447,60862,302532,235909,2351205,10638,103
Uttarakhand,29,366083,344,43803,91595,165071,4060,10
West Bengal,30,1216,653,18203,145332,17662,1730,5
Andaman & Nicobar,31,97,5,1490,468,6296,167,
Chandigarh,32,169,12,901,275,1675,730,
Dadar & Nagar Haveli,33,681.0,,-,-,-,-,
Daman & Diu,34,-,,-,-,-,-,
Delhi,35,587,90,301,-,4807,1269,
Lakshadweep,36,-,,4465,600,5289,2190,
Puducherry,37,17541,21,417,25,1637,121,
Others*,38,-,4621,9150,140273,125797,23885,
Total,,5104950,630189,944802,1723479,8459119,216863,336

Note: * Others includes installations through NGOs/IREDA in different states
Note: SLS = Street Lighting System; HLS = Home Lighting System; SL = Solar Lantern; PP = Power Plants; SPV = Solar Photovoltaic;
Note: MW = Mega Watt; KWP = Kilowatt peak
Note: Source : Ministry of New and Renewable Energy
