Table 3.1 : Yearwise Production of Primary Energy Resources in Physical Units
Publication pages: 33

Year,Coal (Million,Coal Lignite (Million (Million Tonnes),Crude Oil Lignite (Million (Million Tonnes),Natural Gas # Lignite (Million (Billion Cubic Tonnes),Electricity* (GWh)
1,Tonnes) 2,3,Tonnes) 4,Metres) 5,6
2014-15,609.18,48.27,37.46,33.66,238908
2015-16,639.23,43.84,36.94,32.25,224571
2016-17,657.87,45.23,36.01,31.90,241842
2017-18,675.40,46.64,35.68,32.65,266308
2018-19,728.72,44.28,34.20,32.87,299465
2019-20,730.87,42.10,32.17,31.18,340579
2020-21,716.08,37.90,30.49,28.67,340576
2021-22,778.21,47.49,29.69,34.02,369652
2022-23,893.19,44.03,29.18,34.45,411514
2023-24(P),997.83,42.92,29.36,36.44,407826
Growth rate of 2023-24 over,11.71,-2.52,0.61,5.77,-0.90
2022-23 (% ),,,,,
CAGR 2014-15,5.64,-1.30,-2.67,0.89,6.12

Note: to 2023-24(% )
Note: (P): Provisional
Note: # For Natural Gas Gross Production is reported
"Note: * Electricity from Hydro, Nuclear and other Renewable energy sources (Utility)"
Note: Sources: 1. Ministry of Coal
Note: 2. Ministry of Petroleum & Natural Gas
Note: 3. Central Electricity Authority
