Table 3.2 : Yearwise Production of Primary Energy Resources in Energy Units
Unit: (in Petajoules) @ | Publication pages: 33

Year 1,Coal 2,Coal,Lignite 3,Lignite,Crude Oil 4,Crude Oil,Natural Gas 5,Natural Gas,Electricity * 6,Electricity *,Total 7= 2 to 6,Total
2014-15,,11024,,461,,1603,,1296,,860,,15244
2015-16,,11539,,419,,1581,,1242,,808,,15589
2016-17,,11722,,432,,1541,,1229,,871,,15794
2017-18,,11695,,445,,1527,,1258,,959,,15884
2018-19,,12587,,423,,1464,,1266,,1078,,16818
2019-20,,12521,,402,,1377,,1201,,1226,,16726
2020-21,,12105,,362,,1305,,1111,,1226,,16109
2021-22,,13091,,453,,1270,,1318,,1331,,17464
2022-23,,15064,,420,,1249,,1334,,1481,,19549
2023-24 (P),,16906,,410,,1256,,1411,,1468,,21452
Growth rate of 2023-24 over,12.23,,-2.52,,0.61,,5.77,,-0.90,,9.73,
2022-23 (% ),,,,,,,,,,,,
CAGR 2014-15,4.87,,-1.30,,-2.67,,0.95,,6.12,,3.87,

Note: to 2023-24(% )
Note: (P): Provisional
"Note: * Electricity from hydro, Nuclear and other Renwable energy sources (utility)"
Note: @ Conversion factors have been applied to convert production of primary resources of energy into petajoules
Note: Sources: 1. Ministry of Coal
Note: 2. Ministry of Petroleum & Natural Gas
Note: 3. Central Electricity Authority
