Table 3.3 A: Grade Wise Production of Coking Coal by Sector during 2022-23 & 2023-24
Unit: (Million Tonnes) | Publication pages: 34

Grade of Coaking Coal,2022-23,Public 2023-24 (P),Public 2022-23,Private 2023-24 (P),India 2022-23,India 2023-24 (P),Change in production
Steel-I,0.00,0.00,0.00,0.00,0.00,0.00,(%) -
Steel-II,0.06,0.10,0.00,0.00,0.06,0.10,-
SC-1,0.25,0.22,0.00,0.00,0.25,0.22,-
Wash-I,0.17,1.23,0.00,0.00,0.17,1.23,-
Wash-II,3.45,2.95,0.34,0.49,3.78,3.44,-9.12
Wash-III,2.31,4.31,0.33,0.29,2.64,4.60,74.37
Wash-IV,26.10,30.41,5.11,5.15,31.21,35.55,13.90
Wash-V,22.48,21.21,0.00,0.00,22.48,21.21,-5.64
Wash-VI,0.17,0.48,0.00,0.00,0.17,0.48,-
Washery Feed,0.00,0.00,0.00,0.00,0.00,0.00,-
SLV1,0.00,0.00,0.00,0.00,0.00,0.00,-
All India Total,54.99,60.90,5.77,5.92,60.76,66.82,9.98
Met.Coal,37.60,43.50,5.77,5.92,43.37,49.42,13.96
Non Met,17.39,17.40,0.00,0.00,17.39,17.40,0.05
All India Total,54.99,60.90,5.77,5.92,60.76,66.82,9.98

Note: (P): Provisional
Note: Source: Ministry of Coal
