Table 3.3 B: Grade Wise Production of Non-Coking Coal by Sector during 2022-23 & 2023
Unit: ( Million Tonnes) | Publication pages: 35

Grade of Non- Coaking Coal,2022-23,Public 2023-24 (P),Public 2022-23,Private 2023-24 (P),India 2022-23,India 2023-24 (P),Change in production (%)
G1,0.02,0.05,0.00,0.00,0.02,0.05,-
G2,0.08,0.09,0.00,0.00,0.08,0.09,-
G3,1.70,2.59,0.00,0.00,1.70,2.59,-
G4,16.10,18.01,0.00,0.00,16.10,18.01,11.84
G5,9.90,8.95,0.00,0.18,9.90,9.13,-7.81
G6,6.43,7.30,0.13,0.15,6.55,7.45,13.64
G7,45.80,54.63,0.61,0.88,46.41,55.51,19.63
G8,53.20,57.81,0.46,0.00,53.66,57.81,7.73
G9,53.13,67.46,0.00,10.95,53.13,78.41,47.58
G10,63.28,68.36,9.95,1.17,73.23,69.53,-5.06
G11,236.80,267.67,10.84,4.28,247.64,271.96,9.82
G12,99.45,108.44,4.11,12.79,103.56,121.23,17.06
G13,99.05,112.40,1.07,2.87,100.12,115.27,15.13
G14,92.16,89.35,0.43,3.80,92.59,93.15,0.60
G15,17.18,24.49,0.75,0.10,17.93,24.59,37.10
G16,4.28,0.00,0.00,4.32,4.28,4.32,1.08
G17,0.23,1.30,5.21,0.61,5.43,1.91,-
UNG,0.09,0.00,0.00,0.00,0.09,0.00,-
All India Total,798.87,888.90,33.56,42.11,832.43,931.01,11.84

Note: (P): Provisional
Note: Source: Ministry of Caol
