Table 3.3 : Yearwise Production of Coal - Typewise and Sectorwise
Unit: ( Million Tonnes) | Publication pages: 34

Year 1,Coking 2,Coal Non-coking 3,Total 4=2+3,Public 5,Private 6,Total 7=5+6
2014-15,57.45,551.73,609.18,567.03,42.15,609.18
2015-16,60.89,578.34,639.23,606.68,32.55,639.23
2016-17,61.66,596.21,657.87,625.20,32.67,657.87
2017-18,40.15,635.25,675.40,641.77,33.63,675.40
2018-19,41.13,687.59,728.72,695.74,32.98,728.72
2019-20,52.94,677.94,730.87,698.22,32.65,730.87
2020-21,44.79,671.30,716.08,685.95,30.13,716.08
2021-22,51.70,726.51,778.21,747.44,30.77,778.21
2022-23,60.76,832.43,893.19,853.86,39.33,893.19
2023-24(P),66.82,931.01,997.83,949.79,48.03,997.83
Growth rate of,,,,,,
2023-24 over,9.98,11.84,11.71,11.23,22.13,11.71
2022-23 (%),,,,,,
CAGR 2014-15,1.69,5.99,5.64,5.90,1.46,5.64

Note: to 2023-24(%)
Note: (P): Provisional
Note: Source : Ministry of Coal
