Table 3.4 : Yearwise Domestic Production of Petroleum Products
Unit: (Million Tonnes) | Publication pages: 36

Year,LPG,Light distillates Petrol/MG,Light distillates Naphtha,Light distillates Total,Light distillates Kerosene,Light distillates Middle distillates ATF,Middle distillates HSD,Middle distillates LDO,Middle distillates Total,Middle distillates Fuel oil,Middle distillates Lubes,Heavy ends Pet. Coke,Heavy ends Bitumen,Total,Others* Total,Total (2)
1,2,3,4,5,6,7,8,9,10,11,12,12,14,15,16,17
2014-15,9.84,32.33,17.39,59.56,7.56,11.10,94.43,0.36,113.45,11.92,0.95,12.45,4.63,29.94,18.19,221.14
2015-16,10.57,35.32,17.86,63.75,7.50,11.79,98.59,0.43,118.31,9.73,1.04,13.32,5.16,29.24,20.62,231.92
2016-17,11.33,36.59,19.95,67.87,6.04,13.83,102.48,0.63,122.98,9.96,1.03,13.94,5.19,30.11,22.59,243.55
2017-18,12.38,37.78,20.01,70.17,4.41,14.59,107.90,0.56,127.47,9.49,1.04,14.75,5.28,30.55,26.21,254.40
2018-19,12.79,38.04,19.79,70.61,4.07,15.48,110.53,0.70,130.79,10.03,0.95,14.68,5.80,31.46,29.50,262.36
2019-20,12.82,38.62,20.68,72.12,3.21,15.24,111.22,0.62,130.29,8.61,0.93,15.53,5.24,30.31,30.22,262.94
2020-21,12.07,35.78,19.40,67.25,2.39,7.09,100.44,0.73,110.66,7.24,1.07,12.66,5.25,26.21,29.39,233.51
2021-22,12.24,40.24,19.99,72.47,1.92,10.29,107.17,0.81,120.19,8.33,1.17,15.51,5.11,30.12,31.53,254.31
2022-23,12.83,42.82,17.04,72.68,0.95,15.00,113.77,0.65,130.37,9.24,1.30,16.04,5.14,31.73,31.76,266.54
2023-24(P),12.78,45.48,18.74,76.99,0.98,17.11,115.87,0.66,134.62,9.02,1.35,15.56,5.49,31.43,33.05,276.09
Growth rate of 2023-,-0.43,6.22,9.97,5.93,3.71,14.08,1.84,1.70,3.26,-2.40,3.87,-3.01,6.76,-0.97,4.08,3.58
CAGR 2014-15 to,2.94,3.87,0.83,2.89,-20.28,4.92,2.30,6.99,1.92,-3.05,4.05,2.51,1.91,0.54,6.86,2.50
2023-24 (%),,,,,,,,,,,,,,,,

Note: 24 over 2022-23(%)
"Note: (P): Provisional LPG=Liquified Petroleum Gas, MG= Motor Gasoline, ATF= Aviation Turbine Fuel, Lubes= Lubricant, Pet.Coke= Petroleum Coke"
"Note: * Others include VGO, Benzene, MTO, CBFS, Sulphur, Waxes, MTBE & Reformate, etc."
Note: Source : Ministry of Petroleum & Natural Gas.
