Table 3.5 : Yearwise Gross and Net Production of Natural Gas
Unit: (in Billion Cubic Metres) | Publication pages: 37

Year 1,Gross Production 2,Internal Consumption 3,Internal Flared Consumption 4,Internal Losses Consumption 5,Net Production Losses (For Consumption) 6=2-4-5,Net Production ( For Sales) 7 = 6 - 3
2014-15,33.66,5.91,0.87,0.10,32.69,26.78
2015-16,32.25,5.83,1.01,0.12,31.12,25.30
2016-17,31.90,5.86,0.98,0.07,30.85,24.99
2017-18,32.65,5.81,0.82,0.09,31.73,25.92
2018-19,32.87,6.02,0.73,0.09,32.05,26.04
2019-20,31.18,6.05,0.86,0.07,30.26,24.20
2020-21,28.67,5.73,0.82,0.07,27.78,22.05
2021-22,34.02,5.77,0.81,0.09,33.12,27.35
2022-23,34.45,5.51,0.69,0.11,33.65,28.14
2023-24(P),36.44,5.57,0.65,0.11,35.68,30.11
Growth rate of,,,,,,
2023-24 over,5.77,0.98,-6.60,3.26,6.03,7.02
2022-23(% ),,,,,,
CAGR 2014-15,0.89,-0.66,-3.17,1.05,0.98,1.31

Note: to 2023-24 (% )
Note: (P) : Provisional
Note: Total may not tally due to rounding off.
Note: Source : Ministry of Petroleum & Natural Gas.
