Table 3.6 (A): Yearwise Gross Generation of Electricity from Utilities
Publication pages: 38

Year 1,Steam 2,Thermal Diesel 3,Thermal Gas 4,Total 5,Utilities Large Hydro Nuclear 6,(Giga Watt hour=10^6 Kilo Watt hour) Large Hydro Nuclear 7,(Giga Watt hour=10^6 Kilo Watt hour) RES* 8,(Giga Watt hour=10^6 Kilo Watt hour) Total 9
2014-15,835291,1576,41075,877941,129244,36102,73563,1116850
2015-16,895340,551,47122,943013,121377,37414,65781,1167584
2016-17,944022,401,49094,993516,122378,37916,81548,1235358
2017-18,986591,348,50208,1037146,126123,38346,101839,1303455
2018-19,1022265,215,49834,1072314,134894,37813,126759,1371779
2019-20,994197,199,48443,1042838,155769,46472,138337,1383417
2020-21,981443,224,50944,1032611,150300,43029,147248,1373187
2021-22,1078581,214,36016,1114811,151627,47112,170912,1484463
2022-23,1182096,409,23885,1206390,162099,45861,203555,1617904
2023-24(P),1294852,401,31296,1326549,134054,47937,225835,1734375
Growth rate of,,,,,,,,
2023-24 over,9.54,-2.06,31.03,9.96,-17.30,4.53,10.95,7.20
2022-23(%),,,,,,,,
CAGR 2014-15,4.99,-14.12,-2.98,4.69,0.41,3.20,13.27,5.01

Note: to 2023-24(%)
"Note: (P):Provisional * RES: Comprising of Solar, Wind, Bio-Power and Small Hydro Power"
Note: Source : Central Electricity Authority.
