Table 3.6 (B) : Yearwise Gross Generation of Electricity from Non-Utilities
Publication pages: 38

Year,Value 1,Thermal,Thermal (2),Non-Utilities Thermal,Non-Utilities Thermal Large Hydro,(Giga Watt hour= 10^6 x Kilo Watt hour) Thermal RES*,(Giga Watt hour= 10^6 x Kilo Watt hour) Thermal Total,(Giga Watt hour= 10^6 x Kilo Watt hour) Grand Total
1,Steam 10,Diesel 11,Gas 12,Total 13,14,15,16,17
2014-15,128401,9720,21135,159256,145,2656,162057,1278907
2015-16,136721,8412,21083,166216,110,2046,168372,1335956
2016-17,137588,9182,22855,169625,144,2277,172046,1407404
2017-18,143868,8107,25362,177337,112,2328,179777,1483232
2018-19,184250,5334,19545,209130,270,3674,213074,1584853
2019-20,205546,1919,25443,232908,348,6310,239567,1622983
2020-21,193143,2504,21684,217330,339,7158,224827,1598014
2021-22,179235,2105,20801,202141,357,6813,209311,1693774
2022-23,179831,2035,21087,202953,291,8688,211932,1829836
2023-24(P),180500,2150,21500,204150,351,10080,214581,1948956
Growth rate of 2023-24 over,0.37,5.63,1.96,0.59,20.74,16.02,1.25,6.51
2022-23(%),,,,,,,,
CAGR 2014-15,3.86,-15.43,0.19,2.80,10.35,15.97,3.17,4.79

Note: to 2023-24(%)
"Note: (P): Provisional * RES: Comprising of Solar, Wind, Bio-Power and Small Hydro Power"
Note: Source : Central Electricity Authority.
