"Table 4.1: Yearwise Foreign Trade in Coal, Crude Oil, Petroleum Products(total), Natural Gas and Electricity"
"Unit: (Million Tonnes) | Publication pages: 43, 44"

Year,Coal gross imports,Coal exports,Coal net imports,Lignite gross imports,Lignite exports,Lignite net imports,Crude oil gross imports,Crude oil exports,Crude oil net imports,Petroleum products gross imports,Petroleum products exports,Petroleum products net imports,Natural gas gross imports (BCM),Natural gas exports (BCM),Natural gas net imports (BCM),Electricity gross imports (GWh),Electricity exports (GWh),Electricity net imports (GWh)
2014-15,217.78,1.24,216.54,0.00,0.00,0.00,189.43,0.00,189.43,21.30,63.93,-42.63,18.61,0.00,18.61,5007.74,4432.76,574.98
2015-16,203.95,1.58,202.37,0.00,0.00,0.00,202.85,0.00,202.85,29.46,60.54,-31.08,21.39,0.00,21.39,5244.21,5150.30,93.91
2016-17,190.95,1.77,189.18,0.02,0.01,0.01,213.93,0.00,213.93,36.29,65.51,-29.23,24.85,0.00,24.85,5617.30,6710.19,-1092.89
2017-18,208.25,1.50,206.75,0.01,0.00,0.01,220.43,0.00,220.43,35.46,66.83,-31.37,27.44,0.00,27.44,5072.08,7202.86,-2130.78
2018-19,235.35,1.31,234.04,0.02,0.08,-0.06,226.50,0.00,226.50,33.35,61.10,-27.75,28.74,0.00,28.74,4395.86,8468.94,-4073.08
2019-20,248.54,1.03,247.51,0.05,0.09,-0.04,226.95,0.00,226.95,43.79,65.69,-21.90,33.89,0.00,33.89,6350.60,9490.91,-3140.31
2020-21,215.25,2.95,212.31,0.02,0.19,-0.17,196.46,0.00,196.46,43.25,56.77,-13.52,33.03,0.00,33.03,9547.70,9573.55,-25.85
2021-22,208.63,1.32,207.31,0.01,0.02,-0.01,212.38,0.00,212.38,39.02,62.75,-23.74,31.03,0.00,31.03,7974.01,9249.39,-1275.39
2022-23,237.67,1.17,236.50,0.02,0.33,-0.31,232.70,0.00,232.70,44.60,61.01,-16.42,26.30,0.00,26.30,7639.76,13791.92,-6152.16
2023-24(P),264.53,1.55,262.99,0.05,0.00,0.05,234.26,0.00,234.26,48.69,62.59,-13.90,31.80,0.00,31.80,6648.69,11361.98,-4713.29
Growth rate of 2023-24 over,11.30,32.53,11.20,-,-,-,0.67,-,0.67,9.18,2.59,-15.33,20.87,-,20.87,-12.97,-17.62,-23.39
2022-23(%),,,,,,,,,,,,,,,,,,
CAGR 2014-15 to,2.18,2.49,2.18,-,-6.10,-,2.39,-,2.39,9.62,-0.23,-11.71,6.13,-,6.13,3.20,11.02,-
2023-24 (%),,,,,,,,,,,,,,,,,,

Note: (P): Provisional.
Note: Sources:
Note: 1. Ministry of Coal
Note: 2. Ministry of Petroleum & Natural Gas.
Note: 3. Central Electricity Authority
