Table 4.2 : Yearwise Wholesale Price Indices of Energy Commodities
Publication pages: 44

Year,Petrol,Kero-sene,Aviation Kero-sene Turbine Fuel,High Speed Kero-sene Diesel Oil,High Speed Bitumen Diesel Oil,Furnace Bitumen Oil,Furnace Lubri-cants Oil,Furnace LPG Oil,Year 2011-12=100) Coking LPG Coal,Year 2011-12=100) Petroleum LPG Coke,Year 2011-12=100) Petroleum Lignite Coke,Year 2011-12=100) Electricity
2014-15,108.6,103.5,105.1,114.8,106.1,93.6,118.8,103.5,101.4,94.3,99.2,105.7
2015-16,75.7,88.4,69.5,73.4,77.1,54.3,120.8,76.7,101.4,78.3,94.7,105.3
2016-17,72.4,94.3,69.3,74.4,68.0,58.1,116.8,72.0,108.2,93.0,90.2,104.2
2017-18,80.3,117.8,78.7,84.4,71.3,68.8,114.0,82.2,134.1,117.2,104.2,103.7
2018-19,88.4,152.4,102.8,97.1,85.6,94.7,124.8,92.1,132.9,149.7,120.3,109.6
2019-20,85.6,172.8,97.2,93.7,82.8,81.0,131.7,84.5,138.1,128.6,129.1,111.8
2020-21,75.5,116.8,62.5,80.2,77.9,67.9,137.2,82.2,141.8,132.4,130.9,109.6
2021-22,123.0,221.9,112.4,128.2,113.2,108.2,162.0,117.8,143.0,220.1,170.5,117.4
2022-23,164.1,402.6,188.5,191.4,131.4,127.2,180.0,130.9,143.4,293.6,271.1,143.3
2023-24 (P),158.7,332.2,158.6,171.9,123.5,127.3,189.7,116.8,143.4,204.9,267.6,145.0
Increase in 2023-24 over,-3.29,-17.49,-15.86,-10.19,-6.01,0.08,5.39,-10.77,0.00,-30.21,-1.29,1.19
2022-23(%),,,,,,,,,,,,

"Note: * Annual average of monthly index, Financial Year wise"
"Note: Source :Office of the Economic Advisor, Ministry of Commerce & Industry."
