Table 5.1 : Yearwise Availability of Energy Resources
Publication pages: 50

Year,Coal (Million Tonnes),Lignite (Million Tonnes),Crude Oil (Million Tonnes),Natural Gas (Billion Cubic Metres)
2014-15,821.85,46.95,226.90,51.30
2015-16,835.63,42.21,239.79,52.51
2016-17,836.46,43.17,249.94,55.70
2017-18,896.06,46.32,256.12,59.17
2018-19,967.16,45.76,260.70,60.79
2019-20,954.59,42.23,259.12,64.14
2020-21,900.76,38.24,226.95,60.82
2021-22,1025.68,49.08,242.07,64.14
2022-23,1114.18,45.55,261.88,59.95
2023-24(P),1236.48,42.64,263.62,67.47
Growth rate of 2023-24 over,10.98,-6.38,0.66,12.54
2022-23(%),,,,
CAGR 2014-15,4.64,-1.06,1.68,3.09

Note: to 2023-24 (%)
Note: (P): Provisional
Note: Note: Availability is defined as below:
Note: Coal/lignite: Production+Import -Export- change in stocks (Figure for 2014-15 to 2022-23 stand modified
Note: due to correction in formula)
Note: Natural gas:Net Production i.e. (Gross production -Flared - Losses) + Net imports
Note: Sources: 1. Ministry of Coal
Note: 2. Ministry of Petroleum & Natural Gas
Note: 3. Central Electricity Authority
