Table 5.2 : Yearwise Availability of Coal and Lignite
Unit: ( Million Tonnes) | Publication pages: 50

Year 1,Production (Coking + Non-coking) 2,Production Imports Non-coking) 3,Coal Production Exports Non-coking) 4,Coal Change of Production Vendible Stock Exports (closing stock- Non-coking) Opening stock) 5,Coal Change of Availability Vendible Stock for (closing stock- Consumption Opening stock) 6=2+3-4-5,Coal Change of Availability Vendible Stock Production Imports (closing stock- Consumption Opening stock) 7,Coal Change of Vendible Stock Production Imports (closing stock- Opening stock) 8,Coal Lignite Change of Vendible Stock Exports (closing stock- Opening stock) 9,Lignite Change of Vendible Stock (closing stock- Opening stock) 10,Availability for Consumption 11=7+8-9-10
2014-15,609.18,217.78,1.24,3.88,821.85,48.27,0.00,0.00,1.32,46.95
2015-16,639.23,203.95,1.58,5.97,835.63,43.84,0.00,0.00,1.63,42.21
2016-17,657.87,190.95,1.77,10.59,836.46,45.23,0.02,0.01,2.07,43.17
2017-18,675.40,208.25,1.50,-13.92,896.06,46.64,0.01,0.00,0.33,46.32
2018-19,728.72,235.35,1.31,-4.40,967.16,44.28,0.02,0.08,-1.54,45.76
2019-20,730.87,248.54,1.03,23.79,954.59,42.10,0.05,0.09,-0.18,42.23
2020-21,716.08,215.25,2.95,27.63,900.76,37.90,0.02,0.19,-0.51,38.24
2021-22,778.21,208.63,1.32,-40.16,1025.68,47.49,0.01,0.02,-1.59,49.08
2022-23,893.19,237.67,1.17,15.52,1114.18,44.03,0.02,0.33,-1.83,45.55
2023-24(P),997.83,264.53,1.55,24.33,1236.48,42.92,0.05,0.00,0.33,42.64
Growth rate of 2023-24 over,11.71,11.30,32.53,-,10.98,-2.52,-,-,-,-6.38
2022-23(%),,,,,,,,,,

Note: (P): Provisional
Note: Total may not tally due to rounding off
Note: Source : Ministry of Coal
