"Table 5.3 : Yearwise Availability of Crude Oil, Petroleum Products and Natural Gas."
Publication pages: 51

Year 1,Crude Oil (Million Tonne) Production 2,Crude Oil (Million Tonne) Net Imports 3,Crude Oil (Million Tonne) Availability 4=2+3,Petroleum Products (Million Tonne) Production 5,Petroleum Products (Million Tonne) Net Imports 6,Petroleum Products (Million Tonne) Availability Production Net Imports Availability 7=5+6,Natural Gas (Billion Cubic Meter)* Availability Production Net Imports Availability 8,Natural Gas (Billion Cubic Meter)* Availability Production Net Imports Availability 9,Natural Gas (Billion Cubic Meter)* Availability Production Net Imports Availability 10 = 8+9
2014-15,37.46,189.43,226.90,221.14,-42.63,178.50,32.69,18.61,51.30
2015-16,36.94,202.85,239.79,231.92,-31.08,200.84,31.12,21.39,52.51
2016-17,36.01,213.93,249.94,243.55,-29.23,214.32,30.85,24.85,55.70
2017-18,35.68,220.43,256.12,254.40,-31.37,223.03,31.73,27.44,59.17
2018-19,34.20,226.50,260.70,262.36,-27.75,234.61,32.05,28.74,60.79
2019-20,32.17,226.95,259.12,262.94,-21.90,241.04,30.26,33.89,64.14
2020-21,30.49,196.46,226.95,233.51,-13.52,219.99,27.78,33.03,60.82
2021-22,29.69,212.38,242.07,254.31,-23.74,230.57,33.12,31.03,64.14
2022-23,29.18,232.70,261.88,266.54,-16.42,250.12,33.65,26.30,59.95
2023-24(P),29.36,234.26,263.62,276.09,-13.90,262.19,35.68,31.80,67.47
Growth rate of,,,,,,,,,
2023-24 over,0.61,0.67,0.66,3.58,-15.33,4.82,6.03,20.87,12.54
2022-23(%),,,,,,,,,
CAGR 2014-15,-2.67,2.39,1.68,2.50,-11.71,4.36,0.98,6.13,3.09

Note: to 2023-24 (%)
Note: * : Availability of natural gas is equal to indigenous net production (Gross production-Flared/Losses) + net imports
Note: (P): Provisional; Total may not tally due to rounding off.
Note: Source : Ministry of Petroleum & Natural Gas.
