Table 5.4 : Yearwise Availability of Electricity
Unit: (in Giga Watt hour = 106 Kilo Watt hour) | Publication pages: 52

Year 1,Gross Electricity Generated from Utilities 2,Consumption in Power Station Auxiliaries 3,Consumption Net Electricity Generated from Utilities 4=2-3,Purchases from Non-Utilities + Net Import from Other Countries 5,Net Electricity Available for Supply 6=4+5
2014-15,1116850,76268,1040582,13773,1054355
2015-16,1167584,79302,1088282,15947,1104228
2016-17,1235358,81044,1154314,8977,1163290
2017-18,1303455,82148,1221307,11198,1232505
2018-19,1371779,83386,1288393,19291,1307685
2019-20,1383417,83301,1300116,22932,1323048
2020-21,1373187,80472,1292715,21310,1314025
2021-22,1484463,86756,1397707,16197,1413903
2022-23,1617904,93429,1524475,11191,1535665
2023-24(P),1734375,100073,1634302,12696,1646998
Growth rate of,,,,,
2023-24 over,7.20,7.11,7.20,13.45,7.25
2022-23(%),,,,,
CAGR 2014-15,5.01,3.06,5.14,-0.90,5.08

Note: to 2023-24 (%)
Note: (P): Provisional
Note: Source:Central Electricity Authority.
