Table 6.1: Yearwise Consumption of Energy Resources in Physical Units
Unit: (Million Tonnes) MMT (GWh) | Publication pages: 60

Year,Coal #,Lignite,Crude Oil*,Natural Gas (Billion Cubic,Electricity**
1,2,3,4,Metres) 5,6
2014-15,822,47,223,51,948522
2015-16,837,42,233,53,1001191
2016-17,837,43,245,56,1061183
2017-18,898,46,252,59,1123427
2018-19,968,46,257,61,1209972
2019-20,956,42,254,64,1248086
2020-21,906,38,222,61,1230208
2021-22,1028,49,242,64,1316765
2022-23,1115,47,255,60,1440311
2023-24(P),1238,43,262,68,1543000
Growth rate of 2023-24 over 2022-,10.98,-8.96,2.47,12.58,7.13
CAGR 2014-15 to,4.65,-1.06,1.78,3.10,5.56
2023-24(P) (%),,,,,

Note: 23(%)
Note: P: Provisional
Note: GWh = Giga Watt hour = 106 x Kilo Watt hour
Note: # Does not include Lignite
Note: *Crude oil in terms of refinery crude throughput.
Note: ** Total Electricity Consumed
Note: Sources: 1. Ministry of Coal
Note: 2. Ministry of Petroleum & Natural Gas.
Note: 3. Central Electricity Authority.
