Table 6.3: Yearwise Consumption of Coal - Industrywise
Unit: ( Million Tonnes) | Publication pages: 61

Year 1,Electricity 2,Steel & Washery + Electricity Import Coking Coal 3,Steel & Washery + Cement Import 4,Steel & Washery + Paper Import 5,Steel & Washery + Textile Import 6,Steel & Washery + Sponge Iron Import 7,Steel & Fertilizers Washery + & Import Chemicals 8,Steel & Fertilizers Washery + Bricks Import Chemicals 9,Others+ Import Non- Bricks Coking Coal* 10,Others+ Import Non- Total 11 = 2 to 10
2014-15,497.70,56.24,11.36,1.65,0.42,17.77,2.70,0.09,234.22,822
2015-16,517.77,57.08,8.99,1.21,0.27,7.76,2.62,0.07,240.95,837
2016-17,535.04,51.98,6.36,1.18,0.24,5.56,2.45,0.10,234.31,837
2017-18,585.49,58.45,7.71,1.51,0.24,8.53,2.16,0.12,234.30,898
2018-19,621.64,64.65,8.82,1.64,0.20,12.09,1.79,0.09,257.44,968
2019-20,626.15,63.74,8.57,1.33,0.10,10.53,1.76,0.03,243.72,956
2020-21,581.23,60.17,6.75,1.05,0.08,9.57,1.53,0.03,245.93,906
2021-22,710.05,66.28,7.31,1.24,0.08,9.02,1.31,0.02,232.72,1028
2022-23,785.40,69.43,9.31,1.26,0.09,8.09,0.86,0.11,240.67,1115
2023-24(P),859.34,76.16,9.16,1.03,0.17,11.97,0.80,0.10,278.98,1238
% Share in total consumption for,69.43,6.15,0.74,0.08,0.01,0.97,0.06,0.01,22.54,100.00
2023-24 (P),,,,,,,,,,
Growth rate of 2023-24 over,9.41,9.68,-1.57,-,-,-,-,-,15.92,10.98
2022-23(%),,,,,,,,,,
CAGR 2014-15 to,6.26,3.43,-2.36,-5.12,-9.26,-4.30,-,1.05,1.96,4.65
2023-24(%),,,,,,,,,,

Note: (P): Provisional
"Note: * Includes colliery consumption, jute, coal for soft coke & other industries"
Note: Source : Ministry of Coal
