Table 6.4: Yearwise Consumption of Lignite - Industrywise
Unit: ( Million Tonnes) | Publication pages: 61

Year 1,Electricity 2,Steel & Electricity Washery 3,Cement 4,Paper 5,Textile 6,Brick 7,Others * 8,Total 9=2 to 8
2014-15,39.47,0.02,1.27,0.65,2.89,0.67,1.98,47
2015-16,37.56,0.01,0.23,0.43,1.73,0.39,1.87,42
2016-17,38.82,0.04,0.29,0.53,1.29,0.42,1.77,43
2017-18,38.84,0.12,1.09,0.76,2.46,0.38,2.67,46
2018-19,37.73,0.09,1.80,0.60,2.61,0.63,2.34,46
2019-20,36.33,0.02,1.00,0.55,0.16,0.47,3.75,42
2020-21,32.94,0.02,0.81,0.57,0.29,0.43,3.44,38
2021-22,38.76,0.26,1.55,2.11,2.08,1.13,3.20,49
2022-23,38.95,0.12,0.84,0.89,1.85,0.61,3.58,47
2023-24(P),35.70,0.09,0.13,1.04,0.99,0.44,4.26,43
% Share in total consumption,83.70,0.20,0.31,2.44,2.33,1.03,10.00,100.00
Growth rate of 2023-24 over,-8.35,-,-,-,-,-,18.99,-8.96
2022-23(%),,,,,,,,
CAGR 2014-15 to 2023-24(%),-1.11,15.78,-22.30,5.35,-11.17,-4.63,8.92,-1.06

Note: for 2023-24 (P)
Note: (P): Provisional
"Note: * Includes Sponge Iron, colliery consumption., jute, bricks, coal for soft coke, chemicals, fertilisers & other industries consumption and imported lignite"
Note: Source : Ministry of Coal
