Table 6.5 : Yearwise Consumption of Petroleum Products - Categorywise
Unit: (Million Tonnes) | Publication pages: 62

Year 1,Light Distillates LPG 2,Light Distillates Petrol 3,Light Distillates Naphtha 4,Light Distillates Kerosene 5,Middle Distillates Aviation Turbine Fuel 6,Middle Distillates High Aviation Speed Turbine Diesel Fuel Oil 7,Middle Distillates High Light Speed Diesel Oil 8,Middle Distillates High Light Speed Fuel Oil Lubricants Bitumen Diesel Oil 9,Middle Distillates Heavy Ends High Light Speed Fuel Oil Lubricants Bitumen Diesel Oil 10,Heavy Ends High Light Speed Fuel Oil Lubricants Bitumen Diesel Oil 11,High Petroleu Speed m Diesel coke Oil 12,High Petroleu Speed Others* Diesel Oil 13,Total Consumptio Diesel n Oil 14=2 to13,Refinery Fuel and Losses Oil 15,Total including Refinery Fuel and losses 16
2014-15,18.00,19.08,11.08,7.09,5.72,69.42,0.37,5.96,3.31,5.07,14.56,5.87,165.52,17.67,183.19
2015-16,19.62,21.85,13.27,6.83,6.26,74.65,0.41,6.63,3.57,5.94,19.30,6.35,184.67,18.77,203.45
2016-17,21.61,23.76,13.24,5.40,7.00,76.03,0.45,7.15,3.47,5.94,23.96,6.59,194.60,20.07,214.67
2017-18,23.34,26.17,12.89,3.85,7.63,81.07,0.52,6.72,3.88,6.09,25.66,8.34,206.17,21.16,227.33
2018-19,24.91,28.28,14.13,3.46,8.30,83.53,0.60,6.56,3.67,6.71,21.35,11.72,213.22,21.45,234.67
2019-20,26.33,29.98,14.27,2.40,8.00,82.60,0.63,6.30,3.83,6.72,21.71,11.36,214.13,23.61,237.74
2020-21,27.56,27.97,14.10,1.80,3.70,72.71,0.86,5.59,4.10,7.52,15.61,12.79,194.30,22.81,217.10
2021-22,28.25,30.85,13.25,1.49,5.01,76.66,1.02,6.26,4.54,7.82,14.26,12.30,201.70,23.50,225.19
2022-23,28.50,34.98,12.13,0.49,7.38,85.90,0.73,6.96,3.74,8.04,18.34,15.84,223.02,26.04,249.06
2023-24(P),29.66,37.22,13.81,0.48,8.25,89.63,0.78,6.52,4.09,8.81,20.32,14.70,234.26,26.65,260.91
% Share in total,,,,,,,,,,,,,,,
consumption for 2023-24,12.66,15.89,5.90,0.20,3.52,38.26,0.33,2.78,1.74,3.76,8.67,6.27,100.00,-,-
Growth rate of 2023-24,4.07,6.41,13.90,-2.15,11.78,4.34,7.75,-6.29,9.37,9.53,10.77,-7.24,5.04,2.33,4.76
CAGR 2014-15 to 2023-,5.71,7.71,2.48,-,4.14,2.88,8.82,1.00,2.37,6.32,3.77,10.73,3.93,4.67,4.01

Note: (P)
Note: over 2022-23 (%)
Note: 24(%)
"Note: (P) : Provisional; Consumption includes sales by oil companies, own consumption and direct private imports"
Note: * : Includes those of light & middle distillates and heavy ends and sales through private parties.
Note: Total may not tally due to rounding off.
Note: Source: Ministry of Petroleum & Natural Gas.
