Table 6.6(A-1) : Distribution of High Speed Diesel(HSD) under Reseller/ Retail into different End
Unit: ( '000 Tonnes) | Publication pages: 63

FY,Road Transport,Road Shipping Transport,Use sectors Road Railways Transport,Use sectors Road Agriculture Transport,Use sectors Power Agriculture Generation,Use sectors Other Consumer/ Agriculture Industrial Goods,Use sectors Consumer/ Others Industrial,Use sectors Total
2021-22,51663,531,1394,3187,1062,4183,4383,66404
2022-23,62260,640,1681,3841,1280,5042,5282,80026
2023-24,61567,633,1662,3798,1266,4986,5223,79135
% Share in total,,,,,,,,
consumption for,77.80,0.80,2.10,4.80,1.60,6.30,6.60,100.00
2023-24 (P),,,,,,,,
Growth rate of,,,,,,,,
2023-24 over,-1.11,-1.11,-1.11,-1.11,-1.11,-1.11,-1.11,-1.11
2022-23(%),,,,,,,,

Note: Side label: High Speed Diesel Oil
Note: Note : The above end-use distribution of High Speed Diesel(HSD) ( under Retail/Reseller segment) has been made based
Note: on the findings mentioned in Figure 17 ( End-use share(%) of diesel ( retail and direct ) across India ) of Sectoral Study
Note: Report of PPAC (
Note: https://ppac.gov.in/uploads/rep_studies/1666932000_ExecutiveSummarySectoralConsumptionStudy.pdf ).
