Table 6.6 (A): Yearwise Consumption of Selected Petroleum Products - Sectorwise(end use)
Unit: ('000 Tonnes) | Publication pages: 63

Petroleum Product 1,Year 2,Transport 3,Plantation/ Transport Agriculture 4,Power Transport Generation 5,Power Industry Generation 6,Mining & Industry Quarrying 7,Resellers Industry /Retail 8,Misc. Industry Services 9,Pvt Industry Imports 10,Industry Total Imports 11 =3 to10
,2014-15,4617,575,197,794,998,60383,1768,83,69416
,2015-16,5765,630,224,1096,1184,63754,1940,55,74647
,2016-17,5658,607,208,1033,1224,65072,2179,46,76027
,2017-18,5999,618,223,1155,1255,69846,1887,90,81073
,2018-19,6210,639,222,1264,1465,71697,1938,93,83528
,2019-20,6011,616,214,1334,1542,70704,2064,117,82602
,2020-21,3257,571,204,1355,1642,63374,2232,79,72713
,2021-22,4089,530,213,1291,1540,66404,2552,39,76659
,2022-23,2608,299,166,439,1053,80026,1242,68,85901
,2023-24(P),4505,413,202,1253,1328,79135,2749,41,89626
,% Share in total consumption,5.03,0.46,0.23,1.40,1.48,88.29,3.07,0.05,100.00
,Growth rate of 2023-24 over,72.75,38.28,21.76,185.07,26.11,-1.11,121.34,-38.85,4.34
2022-23(%),,,,,,,,,,
,CAGR 2014-15 to 2023-24 (%),,-3.61,0.27,5.20,3.22,3.05,5.03,-7.49,2.88

Note: Side label: High Speed Diesel Oil
Note: for 2023-24 (P)
Note: Source: Ministry of Petroleum & Natural Gas
