Table 6.6 (B) : Yearwise Consumption of Selected Petroleum Products - Sectorwise(end use)
Unit: ('000 Tonnes) | Publication pages: 64

Petroleum Product 1,Year 2,Transport 3,Plantation/ Transport Agriculture 4,Power Transport Generation 5,Power Industry Generation 6,Mining & Industry Quarrying 7,Resellers Industry /Retail 8,Misc. Industry Services 9,Pvt Industry Imports 10,Total Imports 11 =3 to10
,2014-15,4.95,1.06,132.18,54.63,3.80,3.81,164.83,0.00,365.26
,2015-16,3.74,1.26,154.21,60.79,2.23,1.11,183.77,0.00,407.11
,2016-17,7.23,2.02,174.35,59.50,2.30,1.04,202.54,0.00,448.98
,2017-18,7.16,9.29,142.94,148.82,6.12,2.57,206.89,0.00,523.79
,2018-19,9.98,15.65,276.51,174.77,22.42,33.33,65.32,0.00,597.97
,2019-20,4.55,12.47,342.15,153.33,14.44,37.53,63.33,0.00,627.80
,2020-21,5.02,15.30,252.28,308.66,7.71,124.83,128.90,12.36,855.06
,2021-22,6.04,17.75,288.58,296.79,10.28,205.95,187.20,4.91,1017.50
,2022-23,7.60,13.80,260.60,233.30,12.50,60.60,131.70,5.20,725.30
,2023-24(P),11.00,11.50,290.40,214.30,10.60,56.10,187.20,0.90,782.00
,% Share in total consumption,1.41,1.47,37.14,27.40,1.36,7.17,23.94,0.12,100.00
,Growth rate of 2023-24 over,44.74,-16.67,11.44,-8.14,-15.20,-7.43,42.14,-,7.82
2022-23(%),,,,,,,,,,
,CAGR 2014-15 to 2023-24(%),9.27,30.31,9.14,16.40,12.07,34.85,1.42,-,8.83

Note: Side label: Light Diesel Oil Furnace Oil
Note: for 2023-24 (P)
Note: Source: Ministry of Petroleum & Natural Gas
