Table 6.6 (C) : Yearwise Consumption of Selected Petroleum Products - Sectorwise(end use)
Unit: ('000 Tonnes) | Publication pages: 64

Year 2,Transport 3,Plantation/ Transport Agriculture 4,Power Transport Generation 5,Power Industry Generation 6,Mining & Industry Quarrying 7,Resellers Industry /Retail 8,Misc. Industry Services 9,Pvt Industry Imports 10,Total Imports 11 =3 to10
2014-15,346,56,446,1748,45,197,2175,570,5584
2015-16,380,57,430,2136,53,270,2564,592,6482
2016-17,444,51,361,2492,71,357,2485,784,7046
2017-18,601,50,314,2346,68,321,2234,672,6605
2018-19,786,78,339,2577,54,298,1449,611,6195
2019-20,849,71,303,2143,84,290,1398,775,5912
2020-21,1022,80,226,1874,92,268,1330,316,5208
2021-22,1209,65,312,2092,127,211,1388,411,5815
2022-23,1561,50,418,1966,94,153,1405,537,6185
2023-24(P),1484,24,170,1226,115,125,1985,518,5648
% Share in total,,,,,,,,,
consumption for 2023-24,26.28,0.42,3.01,21.72,2.04,2.22,35.15,9.17,100.00
Growth rate of 2023-24,-4.94,-52.93,-59.31,-37.62,21.89,-18.30,41.31,-3.48,-8.69
CAGR 2014-15 to 2023-,17.55,-9.05,-10.15,-3.86,10.95,-4.91,-1.01,-1.06,0.13

Note: Side label: Light Diesel Oil Furnace Oil
Note: (P)
Note: over 2022-23(%)
Note: 24(%)
Note: Source: Ministry of Petroleum & Natural Gas
