Table 6.6 (D) : Yearwise Consumption of Selected Petroleum Products - Sectorwise(end use)
Unit: ('000 Tonnes) | Publication pages: 65

Year 2,Plantation/ Agriculture 3,Power Generation 4,Power Industry Generation 5,Mining & Industry Quarrying 6,Resellers/ Industry Retail 7,Misc. Industry Services 8,Pvt Industry Imports 9,Total Imports 10 =3 to 9
2014-15,0.00,226.18,103.54,0.00,0.00,47.50,0.00,377.22
2015-16,0.00,50.70,70.45,0.00,0.00,29.23,0.00,150.38
2016-17,0.00,16.43,50.88,0.00,0.00,36.91,0.00,104.23
2017-18,1.18,0.00,53.78,0.31,14.67,46.33,0.00,116.27
2018-19,7.90,9.31,175.13,0.00,48.04,128.67,0.00,369.04
2019-20,6.42,17.88,201.93,0.00,50.29,113.02,0.00,389.54
2020-21,6.79,10.71,196.23,0.00,48.50,115.97,0.00,378.20
2021-22,6.51,29.66,191.26,0.00,67.39,151.88,0.00,446.70
2022-23,3.50,18.90,250.30,0.00,83.60,416.70,0.00,773.00
2023-24(P),10.90,37.50,224.80,0.00,64.80,534.70,0.00,872.70
consumption for 2023-24 % Share in total,1.25,4.30,25.76,0.00,7.43,61.27,0.00,100.00
Growth rate of 2023-24,-,-,-10.19,-,-22.49,28.32,-,12.90
CAGR 2014-15 to 2023-24,-,-18.10,9.00,-,-,30.87,-,9.77

Note: Side label: Low Sulphur Heavy Stock Liquefied Petroleum Gas
Note: (P)
Note: over 2022-23(%)
Note: (%)
Note: Source: Ministry of Petroleum & Natural Gas
