Table 6.6 (E) : Yearwise Consumption of Selected Petroleum Products - Sectorwise(end use)
Unit: ('000 Tonnes) | Publication pages: 65

Year 2,Transport Plantation/ 3,Transport Plantation/ Agriculture 4,Power Transport Plantation/ Generatio Agriculture n 5,Power Manufacturing Generatio /Non domestic n 6,Power Manufacturing Mining /Non domestic n 7,Domestic Manufacturing Distributio /Non domestic n 8,Non- Domestic Distributio /Industry/Co mmercial 9,Non- Reseller/ Distributio Retail mmercial 10,Other/ Misc. Distributio Services 11,Private Distributio Import 12,Private Total Import 13= 3 to 12
2014-15,164.59,6.09,3.08,207.92,0.00,16040.39,1050.98,45.19,52.68,429.17,18000.10
2015-16,171.83,7.13,2.68,201.66,0.00,17181.72,1464.37,44.92,59.87,489.05,19623.22
2016-17,168.07,7.75,2.19,220.03,0.00,18871.36,1775.91,67.03,66.56,429.31,21608.21
2017-18,185.09,7.46,1.25,204.57,0.00,20351.78,2085.82,74.25,67.13,364.46,23341.82
2018-19,181.11,21.98,1.77,204.23,0.35,21728.02,2364.39,0.01,88.93,315.98,24906.79
2019-20,172.79,25.70,1.49,153.40,0.07,23075.97,2614.43,0.00,81.90,204.04,26329.78
2020-21,119.01,28.11,0.35,214.98,1.50,25128.09,1885.96,0.88,115.38,64.17,27558.43
2021-22,122.99,29.57,0.41,180.03,3.48,25501.59,2238.83,2.46,174.07,0.06,28253.49
2022-23,108.43,21.71,0.61,228.53,4.90,25381.61,2606.06,1.83,150.08,0.08,28503.83
2023-24(P),89.45,26.50,0.29,375.06,4.88,26207.42,2759.94,0.28,185.71,14.10,29663.62
consumption for 2023-24 % Share in total,0.30,0.09,0.00,1.26,0.02,88.35,9.30,0.00,0.63,0.05,100.00
Growth rate of 2023-24,-17.50,-,-,64.11,-0.35,3.25,5.90,-,23.74,-,4.07
CAGR 2014-15 to 2023-,-6.55,17.74,-,6.77,-,5.61,11.32,-,15.03,-31.58,5.71

Note: Side label: Low Sulphur Heavy Stock Liquefied Petroleum Gas
Note: (P)
Note: over 2022-23(%)
Note: 24(%)
Note: Source: Ministry of Petroleum & Natural Gas
