Table 6.6 (F) : Yearwise Consumption of Selected Petroleum Products - Sectorwise(end use)
Unit: ('000 Tonnes) | Publication pages: 66

Petroleum Product 1,Year 2,Fertilise r Sector 3,Petro Chemicals 4,Power Sector 5,Steel Plants 6,Others 7,Private Import 8,Total 9 = 3 to 8
,2014-15,301,9530,199,0,208,844,11082
,2015-16,316,10350,50,0,37,2517,13271
,2016-17,349,10210,60,0,199,2423,13241
,2017-18,368,10011,67,0,405,2038,12889
,2018-19,352,10602,5,0,462,2711,14131
Naptha,2019-20,150,10874,0,0,880,2364,14268
,2020-21,66,11339,70,0,885,1740,14100
,2021-22,0,11904,6,0,799,536,13246
,2022-23,0,10402,19,0,714,991,12127
,2023-24(P),0,10424,0,0,1038,2350,13812
,% Share in total consumption,0.00,75.47,0.00,0.00,7.51,17.02,100.00
,Growth rate of 2023-24 over,-,0.21,-,-,45.35,137.16,13.90
2022-23(%),,,,,,,,
,CAGR 2014-15 to 2023-24,-,1.00,-,-,19.58,12.06,2.48

Note: Side label: SKO(Kerosene)
Note: for 2023-24 (P)
Note: (%)
Note: Source: Ministry of Petroleum & Natural Gas
