Table 6.6 (G) : Yearwise Consumption of Selected Petroleum Products - Sectorwise(end use)
Unit: ('000 Tonnes) | Publication pages: 66

Petroleum Product 1,Year 2,Domestic/PDS Commercial/ 3,Domestic/PDS Commercial/ Industry 4,Others 5,Total 6= 3 to 5
,2014-15,6917,60,109,7087
,2015-16,6649,64,113,6826
,2016-17,5197,84,116,5397
,2017-18,3634,97,115,3845
,2018-19,3231,97,131,3459
,2019-20,2174,87,137,2397
,2020-21,1587,69,143,1798
,2021-22,1292,64,138,1493
,2022-23,308,62,119,490
,2023-24(P),298,62,118,479
,% Share in total consumption,62.29,12.99,24.72,100.00
,Growth rate of 2023-24 over,-3.18,0.32,-0.74,-2.15
2022-23(%),,,,,
,CAGR 2014-15 to 2023-24,-29.48,0.39,0.90,-25.87

Note: Side label: SKO(Kerosene)
Note: for 2023-24 (P)
Note: (%)
Note: Source: Ministry of Petroleum & Natural Gas
