Table 6.8: Yearwise Consumption of Electricity - Sectorwise
Unit: (in Giga Watt Hour = 106 Kilo Watt Hour) | Publication pages: 68

Year 1,Industry 2,Agriculture 3,Domestic Commercial 4,Domestic Commercial 5,Traction & Domestic Commercial Railways 6,Others 7,Total Electricity Consumed 8=2 to 7
2014-15,418346,168913,217405,78391,16177,49289,948522
2015-16,423523,173185,238876,86037,16594,62976,1001191
2016-17,440206,191151,255826,89825,15683,68493,1061183
2017-18,468613,199247,273545,93755,17433,70834,1123427
2018-19,519196,213409,288243,98228,18837,72058,1209972
2019-20,532820,211295,308745,106047,19148,70031,1248086
2020-21,508776,221303,330809,86950,14668,67701,1230208
2021-22,556481,228451,339780,97121,21935,72996,1316765
2022-23,593895,243852,353156,117231,30028,102149,1440311
2023-24(P),645000,255000,375000,125000,33000,110000,1543000
% Share in total consumption for 2023-,41.80,16.53,24.30,8.10,2.14,7.13,100.00
Growth rate of 2023-,8.61,4.57,6.19,6.63,9.90,7.69,7.13
CAGR 2014-15 to,4.93,4.68,6.24,5.32,8.24,9.33,5.56
2023-24 (%),,,,,,,

Note: 24 (P)
Note: 24 over 2022-23(%)
Note: (P): Provisional
Note: Source : Central Electricity Authority.
