"Table 6.9 : Electricity Generated (from Utilities), Distributed, Sold and Transmission & Distribution Losses"
Unit: (in Giga Watt hour =106 Kilo Watt hour) | Publication pages: 68

Year 1,Net Electricity Generated from Utilities 2,Purchases from Net Electricity Non-Utilities + Generated from Net Import from Utilities Other Countries 3,Purchases from Net Electricity Non-Utilities + Available for Net Import from Supply Other Countries 4=2+3,Purchases from Net Electricity Sold to Ultimate Available for Consumers Supply Other Countries 5,Purchases from Loss in Sold to Ultimate transmission & Consumers distribution Other Countries 6=4-5,Loss in transmission & distribution (% ) 7
2014-15,1040582,13773,1054355,814250,240105,22.77
2015-16,1088282,15947,1104228,863364,240864,21.81
2016-17,1154314,8977,1163290,914093,249197,21.42
2017-18,1221307,11198,1232505,973131,259375,21.04
2018-19,1288393,19291,1307685,1037518,270167,20.66
2019-20,1300116,22932,1323048,1052346,270701,20.46
2020-21,1292715,21310,1314025,1041656,272369,20.73
2021-22,1397707,16197,1413903,1141485,272418,19.27
2022-23,1524475,11191,1535665,1264103,271563,17.68
2023-24(P),1634302,12696,1646998,1365642,281356,17.08
Growth rate of 2023-,7.20,13.45,7.25,8.03,3.61,-3.40
CAGR 2014-15 to,5.14,-0.90,5.08,5.91,1.78,-3.14
2023-24 (% ),,,,,,

Note: 24 over 2022-23(% )
Note: (P): Provisional
Note: Source : Central Electricity Authority.
