Table-7.2 : Energy Balance of India for 2022-23 ( Final )
Unit: All figures in KToE | Publication pages: 74

Item,Coal,Lignite Crude Oil,Crude Oil Oil Products Natural Gas,Oil Products Natural Gas,Oil Products Natural Gas (2),Nuclear,"Large Solar, Wind, Nuclear Hydro","Solar, Wind, Nuclear Electricity Others",Electricity,Total
Production,359798,10039,29821,0,31866,11952,13965,18253,0,475694
Imports,126343,5,237819,44703,24331,0,0,0,657,433858
Exports,-785,-76,0,-63660,0,0,0,0,-1186,-65708
Stock changes,-6502,418,0,0,0,0,0,0,0,-6084
Total primary energy supply,478853,10386,267640,-18957,56198,11952,13965,18253,-529,837761
Statistical differences,11250,295,19822,-25004,3299,0,0,0,-1581,8080
Main activity producer electricity plants,-317764,-8880,0,-893,-7541,-11952,-13940,-17506,139140,-239336
Autoproducer electricity plants,0,0,0,0,0,0,-25,-747,18226,17454
Oil refineries,0,0,-260847,271968,0,0,0,0,0,11121
Energy industry own use,0,0,0,0,-16607,0,0,0,-8035,-24642
Losses,0,0,-26615,0,-100,0,0,0,-23354,-50069
Final consumption,172340,1801,0,227113,35248,0,0,0,123867,560369
Industry,172340,1801,0,49519,800,0,0,0,51075,275535
Iron and steel,40510,28,0,1021,0,0,0,0,0,41559
Chemical and petrochemical,448,0,0,11786,0,0,0,0,0,12234
Non-ferrous metals,0,0,0,400,0,0,0,0,0,400
Machinery,0,0,0,85,0,0,0,0,0,85
Mining and quarrying,0,0,0,1196,0,0,0,0,0,1196
"Paper, pulp and print",656,204,0,0,0,0,0,0,0,860
Construction,4921,329,0,376,0,0,0,0,0,5626
Textile and leather,48,422,0,155,0,0,0,0,0,625
Non-specified (industry),125757,817,0,34500,800,0,0,0,51075,212949
Transport,0,0,0,49652,12758,0,0,0,2582,64992
Road,0,0,0,37877,11126,0,0,0,0,49003
Domestic aviation,0,0,0,7861,0,0,0,0,0,7861
Rail,0,0,0,1776,0,0,0,0,2582,4358
Pipeline transport,0,0,0,0,1632,0,0,0,0,1632
Domestic navigation,0,0,0,2138,0,0,0,0,0,2138
Non-specified (transport),0,0,0,0,0,0,0,0,0,0
Other,0,0,0,127942,1046,0,0,0,70209,199198
Residential,0,0,0,28997,0,0,0,0,30371,59368
Commercial and public services,0,0,0,65,0,0,0,0,10082,10147
Agriculture/forestry,0,0,0,401,143,0,0,0,20971,21515
Non-specified (other),0,0,0,98480,903,0,0,0,8785,108168
Non-energy use,0,0,0,0,20645,0,0,0,0,20645
Non-energy use industry/transformation/energy,0,0,0,0,20645,0,0,0,0,20645
Non-energy use in transport,0,0,0,0,0,0,0,0,0,0
Non-energy use in other,0,0,0,0,0,0,0,0,0,0
Elect. output in GWh,0,0,0,0,0,45861,162389,212242,0,420493
Elec output-main activity producer ele plants,0,0,0,0,0,45861,162099,203555,0,411514
Elec output-autoproducer electricity plants,0,0,0,0,0,0,291,8688,0,8979

Note: Final consumption refers to End Use Consumption
