Table-7.3 : Energy Balance of India for 2022-23 ( Final )
Unit: All figures in Peta Joule | Publication pages: 75

Item,Coal,Lignite Crude Oil,Crude Oil Products,Oil Crude Oil Products,Natural Crude Oil Gas,Natural Nuclear Gas,Large Nuclear Hydro,"Solar, Wind, Electricity Others",Electricity,Total
Production,15064,420,1249,0,1334,500,585,764,0,19916
Imports,5290,0,9957,1872,1019,0,0,0,28,18165
Exports,-33,-3,0,-2665,0,0,0,0,-50,-2751
Stock changes,-272,17,0,0,0,0,0,0,0,-255
Total primary energy supply,20049,435,11206,-794,2353,500,585,764,-22,35075
Statistical differences,471,12,830,-1047,138,0,0,0,-66,338
Main activity producer electricity plants,-13304,-372,0,-37,-316,-500,-584,-733,5826,-10021
Autoproducer electricity plants,0,0,0,0,0,0,-1,-31,763,731
Oil refineries,0,0,-10921,11387,0,0,0,0,0,466
Energy industry own use,0,0,0,0,-695,0,0,0,-336,-1032
Losses,0,0,-1114,0,-4,0,0,0,-978,-2096
Final consumption,7216,75,0,9509,1476,0,0,0,5186,23462
Industry,7216,75,0,2073,33,0,0,0,2138,11536
Iron and steel,1696,1,0,43,0,0,0,0,0,1740
Chemical and petrochemical,19,0,0,493,0,0,0,0,0,512
Non-ferrous metals,0,0,0,17,0,0,0,0,0,17
Machinery,0,0,0,4,0,0,0,0,0,4
Mining and quarrying,0,0,0,50,0,0,0,0,0,50
"Paper, pulp and print",27,9,0,0,0,0,0,0,0,36
Construction,206,14,0,16,0,0,0,0,0,236
Textile and leather,2,18,0,6,0,0,0,0,0,26
Non-specified (industry),5265,34,0,1444,33,0,0,0,2138,8916
Transport,0,0,0,2079,534,0,0,0,108,2721
Road,0,0,0,1586,466,0,0,0,0,2052
Domestic aviation,0,0,0,329,0,0,0,0,0,329
Rail,0,0,0,74,0,0,0,0,108,182
Pipeline transport,0,0,0,0,68,0,0,0,0,68
Domestic navigation,0,0,0,90,0,0,0,0,0,90
Non-specified (transport),0,0,0,0,0,0,0,0,0,0
Other,0,0,0,5357,44,0,0,0,2940,8340
Residential,0,0,0,1214,0,0,0,0,1272,2486
Commercial and public services,0,0,0,3,0,0,0,0,422,425
Agriculture/forestry,0,0,0,17,6,0,0,0,878,901
Non-specified (other),0,0,0,4123,38,0,0,0,368,4529
Non-energy use,0,0,0,0,864,0,0,0,0,864
Non-energy use industry/transformation/energy,0,0,0,0,864,0,0,0,0,864
Non-energy use in transport,0,0,0,0,0,0,0,0,0,0
Non-energy use in other,0,0,0,0,0,0,0,0,0,0
Elect. output in GWh,0,0,0,0,0,1920,6799,8886,0,17605
Elec output-main activity producer ele plants,0,0,0,0,0,1920,6787,8522,0,17229
Elec output-autoproducer electricity plants,0,0,0,0,0,0,12,364,0,376

Note: Final consumption refers to End Use Consumption
