Table 7.4: Energy Balance of Petroleum Products for 2022-23( Final )
Unit: All figures in KToE | Publication pages: 76

Item,LPG Naphtha Kerosene,LPG Naphtha Kerosene (2),Diesel LPG Naphtha Kerosene (HSD+ LDO),Diesel (HSD+ Fuel Oil LDO),Diesel Lubricant Fuel Oil LDO),Diesel Lubricant Fuel Oil Bitumin s LDO),Diesel Lubricant Petrol/Mot Bitumin s or Spirit LDO),Diesel Petrol/Mot Bitumin or Spirit LDO),Diesel Petrol/Mot Petroleu ATF or Spirit m Coke LDO),Other Diesel Petroleu ATF m Coke LDO) Products,Other Petroleu m m Coke Products *,Other Petroleu m Products Total
Production,14496,18311,991,118428,9104,1305,4792,45815,15979,12263,30485,271968
Imports,20714,964,0,334,8434,2159,2606,1144,0,6622,1727,44703
Exports,-610,-6142,-11,-29494,-1813,-14,-8,-14046,-7738,-217,-3568,-63660
Stock changes,0,0,0,0,0,0,0,0,0,0,0,0
Total primary energy supply,34601,13133,979,89268,15725,3450,7389,32913,8242,18667,28644,253011
Statistical differences,-2405,-99,-468,392,-8872,298,101,4513,-382,-4648,-13436,-25004
Main activity producer electricity plants,-1,-21,0,-441,-430,0,0,0,0,0,0,-893
Autoproducer electricity plants,0,0,0,0,0,0,0,0,0,0,0,0
Oil refineries,14496,18311,991,118428,9104,1305,4792,45815,15979,12263,30485,271968
Energy industry own use,0,0,0,0,0,0,0,0,0,0,0,0
Losses,0,0,0,0,0,0,0,0,0,0,0,0
Final consumption,32196,13013,512,89218,6423,3749,7490,37426,7860,14020,15209,227113
Industry,3202,13013,0,1799,2276,0,0,0,0,14020,15209,49519
Iron and steel,0,0,0,163,858,0,0,0,0,0,0,1021
Chemical and petrochemical,0,11181,0,89,517,0,0,0,0,0,0,11786
Non-ferrous metals,0,0,0,22,379,0,0,0,0,0,0,400
Machinery,0,0,0,66,18,0,0,0,0,0,0,85
Mining and quarrying,0,0,0,1103,93,0,0,0,0,0,0,1196
"Paper, pulp and print",0,0,0,0,0,0,0,0,0,0,0,0
Construction,0,0,0,185,191,0,0,0,0,0,0,376
Textile and leather,0,0,0,131,24,0,0,0,0,0,0,155
Non-specified (industry),3202,1832,0,40,197,0,0,0,0,14020,15209,34500
Transport,123,0,0,2707,1538,0,0,37426,7860,0,0,49652
Road,123,0,0,153,176,0,0,37426,0,0,0,37877
Domestic aviation,0,0,0,1,0,0,0,0,7860,0,0,7861
Rail,0,0,0,1776,0,0,0,0,0,0,0,1776
Pipeline transport,0,0,0,0,0,0,0,0,0,0,0,0
Domestic navigation,0,0,0,776,1362,0,0,0,0,0,0,2138
Non-specified (transport),0,0,0,0,0,0,0,0,0,0,0,0
Other,28871,0,512,84712,2609,3749,7490,0,0,0,0,127942
Residential,28675,0,322,0,0,0,0,0,0,0,0,28997
Commercial and public services,0,0,65,0,0,0,0,0,0,0,0,65
Agriculture/forestry,25,0,0,323,53,0,0,0,0,0,0,401
Non-specified (other),172,0,125,84388,2556,3749,7490,0,0,0,0,98480
Non-energy use,0,0,0,0,0,0,0,0,0,0,0,0
Non-energy use industry/transformation/energy,0,0,0,0,0,0,0,0,0,0,0,0
Non-energy use in transport,0,0,0,0,0,0,0,0,0,0,0,0
Non-energy use in other,0,0,0,0,0,0,0,0,0,0,0,0
Elect. output in GWh,,,,,,,,,,,,0
Elec output-main activity producer ele plants,0,0,0,0,0,0,0,0,0,0,0,0
Elec output-autoproducer electricity plants,0,0,0,0,0,0,0,0,0,0,0,0

Note: Final consumption refers to End Use Consumption
"Note: * Incluse Paraffin waxes, petroleum jelly, LSWR, MTBE and reformate, BGO, Benzene, MTO, CBFS and Sulfur etc."
