Table 7.6: Energy Balance of India for 2023-24 (P)
Unit: All figures in KToE | Publication pages: 78

Item,Coal,Lignite Crude Oil,Crude Oil Products,Oil Natural Crude Oil Products,Natural Crude Oil Gas,Natural Nuclear Gas,"Large Solar, Wind, Nuclear Hydro","Solar, Wind, Nuclear Electricity Others","Solar, Wind, Electricity",Total
Production,403799,9786,30002,0,33705,12493,11559,20289,0,521633
Imports,141639,12,239415,48203,29410,0,0,0,572,459250
Exports,-1041,0,0,-65333,0,0,0,0,-977,-67352
Stock changes,-10299,-75,0,0,0,0,0,0,0,-10374
Total primary energy supply,534098,9723,269417,-17131,63115,12493,11559,20289,-405,903158
Statistical differences,16395,0,25117,-25545,5740,0,0,0,-1704,20003
Main activity producer electricity plants,-349546,-8139,0,-714,-8400,-12493,-11529,-19422,149156,-261086
Autoproducer electricity plants,0,0,0,0,0,0,-30,-867,18454,17557
Oil refineries,0,0,-267299,282077,0,0,0,0,0,14778
Energy industry own use,0,0,0,0,-20664,0,0,0,-8606,-29270
Losses,0,0,-27235,0,-103,0,0,0,-24197,-51535
Final consumption,200947,1585,0,238687,39687,0,0,0,132698,613605
Industry,200947,1585,0,52471,1348,0,0,0,55470,311822
Iron and steel,46801,20,0,735,0,0,0,0,0,47556
Chemical and petrochemical,425,0,0,11711,0,0,0,0,0,12135
Non-ferrous metals,0,0,0,250,0,0,0,0,0,250
Machinery,0,0,0,114,0,0,0,0,0,114
Mining and quarrying,0,0,0,1499,0,0,0,0,0,1499
"Paper, pulp and print",545,237,0,0,0,0,0,0,0,782
Construction,4920,130,0,585,0,0,0,0,0,5634
Textile and leather,92,227,0,539,0,0,0,0,0,857
Non-specified (industry),148164,972,0,37039,1348,0,0,0,55470,242994
Transport,0,0,0,54848,14259,0,0,0,2838,71945
Road,0,0,0,42461,12479,0,0,0,0,54941
Domestic aviation,0,0,0,8786,0,0,0,0,0,8786
Rail,0,0,0,1509,0,0,0,0,2838,4347
Pipeline transport,0,0,0,0,1779,0,0,0,0,1779
Domestic navigation,0,0,0,2091,0,0,0,0,0,2091
Non-specified (transport),0,0,0,0,0,0,0,0,0,0
Other,0,0,0,131368,1057,0,0,0,74390,206815
Residential,0,0,0,29919,0,0,0,0,32250,62169
Commercial and public services,0,0,0,65,0,0,0,0,10750,10815
Agriculture/forestry,0,0,0,503,131,0,0,0,21930,22564
Non-specified (other),0,0,0,100880,926,0,0,0,9460,111266
Non-energy use,0,0,0,0,23023,0,0,0,0,23023
Non-energy use industry/transformation/energy,0,0,0,0,23023,0,0,0,0,23023
Non-energy use in transport,0,0,0,0,0,0,0,0,0,0
Non-energy use in other,0,0,0,0,0,0,0,0,0,0
Elect. output in GWh,0,0,0,0,0,47937,134405,235915,0,418257
Elec output-main activity producer ele plants,0,0,0,0,0,47937,134054,225835,0,407826
Elec output-autoproducer electricity plants,0,0,0,0,0,0,351,10080,0,10431

Note: Final consumption refers to End Use Consumption
Note: P: Provisional
