Table 7.7: Energy Balance of India for 2023-24 (P)
Unit: All figures in Peta Joule | Publication pages: 79

Item,Coal,Lignite Crude Oil,Crude Oil Products,Oil Natural Crude Oil Products,Natural Crude Oil Gas,Natural Nuclear Gas,"Large Solar, Wind, Nuclear Hydro","Solar, Wind, Nuclear Electricity Others","Solar, Wind, Electricity",Total
Production,16906,410,1256,0,1411,523,484,849,0,21840
Imports,5930,0,10024,2018,1231,0,0,0,24,19228
Exports,-44,0,0,-2735,0,0,0,0,-41,-2820
Stock changes,-431,-3,0,0,0,0,0,0,0,-434
Total primary energy supply,22362,407,11280,-717,2643,523,484,849,-17,37813
Statistical differences,686,0,1052,-1070,240,0,0,0,-71,838
Main activity producer electricity plants,-14635,-341,0,-30,-352,-523,-483,-813,6245,-10931
Autoproducer electricity plants,0,0,0,0,0,0,-1,-36,773,735
Oil refineries,0,0,-11191,11810,0,0,0,0,0,619
Energy industry own use,0,0,0,0,-865,0,0,0,-360,-1225
Losses,0,0,-1140,0,-4,0,0,0,-1013,-2158
Final consumption,8413,66,0,9993,1662,0,0,0,5556,25690
Industry,8413,66,0,2197,56,0,0,0,2322,13055
Iron and steel,1959,1,0,31,0,0,0,0,0,1991
Chemical and petrochemical,18,0,0,490,0,0,0,0,0,508
Non-ferrous metals,0,0,0,10,0,0,0,0,0,10
Machinery,0,0,0,5,0,0,0,0,0,5
Mining and quarrying,0,0,0,63,0,0,0,0,0,63
"Paper, pulp and print",23,10,0,0,0,0,0,0,0,33
Construction,206,5,0,24,0,0,0,0,0,236
Textile and leather,4,9,0,23,0,0,0,0,0,36
Non-specified (industry),6203,41,0,1551,56,0,0,0,2322,10174
Transport,0,0,0,2296,597,0,0,0,119,3012
Road,0,0,0,1778,522,0,0,0,0,2300
Domestic aviation,0,0,0,368,0,0,0,0,0,368
Rail,0,0,0,63,0,0,0,0,119,182
Pipeline transport,0,0,0,0,75,0,0,0,0,75
Domestic navigation,0,0,0,88,0,0,0,0,0,88
Non-specified (transport),0,0,0,0,0,0,0,0,0,0
Other,0,0,0,5500,44,0,0,0,3115,8659
Residential,0,0,0,1253,0,0,0,0,1350,2603
Commercial and public services,0,0,0,3,0,0,0,0,450,453
Agriculture/forestry,0,0,0,21,5,0,0,0,918,945
Non-specified (other),0,0,0,4224,39,0,0,0,396,4658
Non-energy use,0,0,0,0,964,0,0,0,0,964
Non-energy use industry/transformation/energy,0,0,0,0,964,0,0,0,0,964
Non-energy use in transport,0,0,0,0,0,0,0,0,0,0
Non-energy use in other,0,0,0,0,0,0,0,0,0,0
Elect. output in GWh,0,0,0,0,0,2007,5627,9877,0,17512
Elec output-main activity producer ele plants,0,0,0,0,0,2007,5613,9455,0,17075
Elec output-autoproducer electricity plants,0,0,0,0,0,0,15,422,0,437

Note: Final consumption refers to End Use Consumption
Note: P: Provisional
