Table 7.8 : Energy Balance of Petroleum Products for 2023-24(P)
Unit: All figures in KToE | Publication pages: 80

Item,LPG Naphtha Kerosene,LPG Naphtha Kerosene (2),LPG Naphtha Kerosene (HSD+,Diesel (HSD+ Fuel Oil LDO),Diesel Lubricant Fuel Oil LDO),Diesel Lubricant Fuel Oil Bitumin s LDO),Diesel Lubricant Petrol/Moto Bitumin s LDO),Diesel Petrol/Moto Bitumin r Spirit LDO),Diesel Petrol/Moto Petroleum ATF r Spirit LDO),Diesel Petroleum ATF Petroleum Coke LDO) Products*,Other Petroleum Products Products*,Petroleum Products Total
Production,14435,20137,1027,120605,8885,1356,5116,48665,18229,11893,31728,282077
Imports,20916,1301,0,44,8917,2420,3021,768,0,8374,2442,48203
Exports,-594,-5670,-11,-29192,-2071,-15,-16,-14416,-9139,-21,-4188,-65333
Stock changes,0,0,0,0,0,0,0,0,0,0,0,0
Total primary energy supply,34757,15769,1016,91456,15731,3761,8121,35017,9090,20246,29982,264946
Statistical differences,-1251,-923,-515,2117,-9308,339,83,4809,-305,-4716,-15874,-25545
Main activity producer electricity plants,0,0,0,-510,-204,0,0,0,0,0,0,-714
Autoproducer electricity plants,0,0,0,0,0,0,0,0,0,0,0,0
Oil refineries,14435,20137,1027,120605,8885,1356,5116,48665,18229,11893,31728,282077
Energy industry own use,0,0,0,0,0,0,0,0,0,0,0,0
Losses,0,0,0,0,0,0,0,0,0,0,0,0
Final consumption,33506,14845,501,93064,6218,4100,8204,39826,8785,15530,14108,238687
Industry,3542,14845,0,2904,1543,0,0,0,0,15530,14108,52471
Iron and steel,0,0,0,186,549,0,0,0,0,0,0,735
Chemical and petrochemical,0,11204,0,104,402,0,0,0,0,0,0,11711
Non-ferrous metals,0,0,0,20,230,0,0,0,0,0,0,250
Machinery,0,0,0,100,14,0,0,0,0,0,0,114
Mining and quarrying,0,0,0,1386,113,0,0,0,0,0,0,1499
"Paper, pulp and print",0,0,0,0,0,0,0,0,0,0,0,0
Construction,0,0,0,473,112,0,0,0,0,0,0,585
Textile and leather,0,0,0,520,18,0,0,0,0,0,0,539
Non-specified (industry),3542,3641,0,114,104,0,0,0,0,15530,14108,37039
Transport,101,0,0,4674,1462,0,0,39826,8785,0,0,54848
Road,101,0,0,2363,171,0,0,39826,0,0,0,42461
Domestic aviation,0,0,0,1,0,0,0,0,8785,0,0,8786
Rail,0,0,0,1509,0,0,0,0,0,0,0,1509
Pipeline transport,0,0,0,0,0,0,0,0,0,0,0,0
Domestic navigation,0,0,0,800,1291,0,0,0,0,0,0,2091
Non-specified (transport),0,0,0,0,0,0,0,0,0,0,0,0
Other,29864,0,501,85486,3213,4100,8204,0,0,0,0,131368
Residential,29608,0,312,0,0,0,0,0,0,0,0,29919
Commercial and public services,0,0,65,0,0,0,0,0,0,0,0,65
Agriculture/forestry,30,0,0,439,34,0,0,0,0,0,0,503
Non-specified (other),226,0,124,85047,3179,4100,8204,0,0,0,0,100880
Non-energy use,0,0,0,0,0,0,0,0,0,0,0,0
Non-energy use industry/transformation/energy,0,0,0,0,0,0,0,0,0,0,0,0
Non-energy use in transport,0,0,0,0,0,0,0,0,0,0,0,0
Non-energy use in other,0,0,0,0,0,0,0,0,0,0,0,0
Elect. output in GWh,0,0,0,0,0,0,0,0,0,0,0,0
Elec output-main activity producer ele plants,0,0,0,0,0,0,0,0,0,0,0,0
Elec output-autoproducer electricity plants,0,0,0,0,0,0,0,0,0,0,0,0

Note: Final consumption refers to End Use Consumption
Note: P: Provisional
"Note: * Incluse Paraffin waxes, petroleum jelly, LSWR, MTBE and reformate, BGO, Benzene, MTO, CBFS and Sulfur etc."
