Table 8.11 Fuel Share of major Energy Commodities in Total Primary Energy
Publication pages: 106

Year,Coal,Crude Oil,Supply (TPES) Natural Gas,Renewable Energy,Nuclear Energy
2014-15,59.27,36.08,7.48,2.75,1.46
2015-16,57.56,36.38,7.32,2.42,1.45
2016-17,55.97,37.32,7.63,2.59,1.44
2017-18,56.70,36.44,7.70,2.76,1.39
2018-19,57.31,34.99,7.44,3.00,1.29
2019-20,55.79,34.75,7.85,3.39,1.59
2020-21,56.30,32.67,8.04,3.69,1.58
2021-22,58.57,31.79,7.73,3.64,1.58
2022-23,58.40,31.95,6.71,3.85,1.43
2023-24(P),60.21,29.83,6.99,3.53,1.38
