Table 8.12: Fuel share of different energy commodities in Total Final Energy
Publication pages: 107

Year,Oil Products,Consumption (TFEC) Coal Oil Products (includes Lignite),Electricity,Natural Gas
2014-15,37.58,38.76,18.34,5.32
2015-16,39.88,36.19,18.45,5.47
2016-17,41.21,33.73,19.24,5.83
2017-18,41.55,33.36,19.37,5.72
2018-19,40.23,34.97,19.41,5.39
2019-20,40.62,33.49,20.12,5.76
2020-21,39.03,34.11,20.88,5.99
2021-22,40.01,31.43,21.96,6.60
2022-23,40.53,31.08,22.10,6.29
2023-24(P),38.90,33.01,21.63,6.47
