Table 8.13: Share of different fuel in Total Generation of Electricity (in percentage)
Publication pages: 107

Year,Thermal,Non-Renewable Nuclear,Non-Renewable Total,Non-Renewable Hydro,Renewable RE (other than hydro),Total
2014-15,81.10,2.82,83.92,10.12,5.96,16.08
2015-16,83.03,2.80,85.83,9.09,5.08,14.17
2016-17,82.64,2.69,85.34,8.71,5.96,14.66
2017-18,81.88,2.59,84.47,8.51,7.02,15.53
2018-19,80.86,2.39,83.24,8.53,8.23,16.76
2019-20,78.61,2.86,81.47,9.62,8.91,18.53
2020-21,78.22,2.69,80.91,9.43,9.66,19.09
2021-22,77.75,2.78,80.53,8.97,10.49,19.47
2022-23,77.02,2.51,79.53,8.87,11.60,20.47
2023-24(P),78.54,2.46,81.00,6.90,12.10,19.00
