Table 8.14: Net Energy Import Dependency of energy commodities
Publication pages: 108

Year,Crude oil (%),Coal (%),Natural Gas (%),Electricity (%),Overall (%)
2014-15,83.49,28.71,35.60,0.04,36.96
2015-16,84.59,27.34,39.88,0.01,37.95
2016-17,85.59,26.10,43.79,-0.08,38.85
2017-18,86.07,26.84,45.66,-0.14,39.61
2018-19,86.88,28.14,46.65,-0.26,40.35
2019-20,87.59,30.64,52.08,-0.19,42.53
2020-21,86.56,28.40,53.53,0.00,42.12
2021-22,87.73,25.25,47.70,-0.08,40.15
2022-23,88.86,25.65,43.30,-0.34,39.37
2023-24(P),88.86,25.86,46.60,-0.24,40.27
