Table 8.1: Per-Capita Primary Energy Consumption and Energy Intensity
Unit: in petajoules (in Thousands) Rs. crore) Megajoules) (Megajoules | Publication pages: 101

Year,Energy Consumption#,Mid-year population*,Mid-year population* (2),at 2011- 12 prices** (,at 2011- 12 prices** ( (2),Per Capita Energy Consumption (in,Energy Intensity per rupee)
2014-15,28453,1268310,,10527674,,22434,0.2703
2015-16,29063,1284350,,11369493,,22629,0.2556
2016-17,29713,1299434,,12308193,,22866,0.2414
2017-18,30966,1313815,,13144582,,23569,0.2356
2018-19,32712,1328206,,13992914,,24629,0.2338
2019-20,32548,1342586,,14534641,,24243,0.2239
2020-21,29807,1356980,,13694869,,21965,0.2176
2021-22,33018,1370311,,15021846,,24095,0.2198
2022-23,35430,1382894,,16164913,,25620,0.2192
2023-24(P),38479,1395478,,17650591,,27574,0.2180
Growth rate of,,,,,,,
2023-24 over,8.60,,0.91,,9.19,7.62,-0.54
2022-23 (%),,,,,,,
CAGR 2014-15,,,,,,,
to 2023-24(P),3.41,,1.07,,5.91,2.32,-2.36

Note: (%)
Note: P: Provisional
Note: Energy Intensity=Amount of energy consumed for producing one unit of Gross Domestic Product.
Note: * Mid-Year (as on 1st October) population has been taken from Population Projections for India and states 2011 -
"Note: 2036; Report of the Technical Group On Population Projections, July, 2020"
"Note: ** GDP estimates are at base 2011-12 price as per the National Accounts Divisions's, NSO, MoSPI."
Note: # Energy consumption from Primary Energy Resources
