Table 8.2 India's Total Emissions related to Energy Sector
Publication pages: 101

GHG sources and removals,2011,2012,2013,2014,2015,2016,2017,2018,Equivalent)* 2019,Equivalent)* 2020
A. Fuel Combustion activities,1604503,1704639,1774788,1871709,2055017,2092250,2168704,2307753,2338432,2211513
1. Energy Industries,924258,1005813,1053981,1140983,1197123,1206587,1255716,1324177,1331901,1265328
construction,338816,343603,356771,351910,394092,397739,393312,412086,404676,390667
3. Transport,221202,236020,241253,250173,261517,274434,290732,307328,314817,297371
4. Other sectors,120228,119202,122783,128643,202286,213490,228944,264162,287039,258147
fuels,47426,43047,38771,38057,37084,37179,35559,36572,35898,26896
1. Solid fuels,16388,16086,15568,16547,16614,17121,16065,16862,17017,16709
2. Oil and natural gas,31037,26961,23203,21511,20470,20058,19494,19710,18880,10187
Total Energy (A+B),1651928,1747686,1813559,1909766,2092102,2129428,2204263,2344325,2374330,2238409

Note: 2. Manufacturing industries &
Note: B. Fugitive emission from
"Note: Source: India Fourth Biennial Update Report to The United Nations Framework Convention on Climate Change, Ministry of"
"Note: Environment, Forest and Climate Change, December 2024"
Note: *GgCO2 Equivalent : Gigagrams of carbon dioxide equivalent
