Table 8.3 Energy Indicators ( Economic Dimension) for Sustainability from FY : 2014-15 to FY : 2023-24(P)
Publication pages: 102

Theme,Sub-theme,Indicator,Category,Unit,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24(P)
,,,TPES,toe/person,0.5067,0.5245,0.5267,0.5467,0.5733,0.5676,0.5233,0.5680,0.6058,0.6472
,Overall Use,Energy use per capita,TFC,toe/person,0.3507,0.3633,0.3650,0.3797,0.4035,0.3973,0.3734,0.3763,0.4052,0.4397
,Overall Use,Energy use per capita,Electricity,Kwh/person,747.86,779.53,816.65,855.09,910.98,929.61,906.58,960.92,1041.52,1105.71
,Overall Use,Energy use per capita,TPES,toe/000'rupees,0.0061,0.0059,0.0056,0.0055,0.0054,0.0052,0.0052,0.0052,0.0052,0.0051
,Overall,Energy use per unit of GDP,TFC,toe/000'rupees,0.00422,0.00410,0.00385,0.00379,0.00383,0.00367,0.00370,0.00343,0.00347,0.00348
,Productivity,Energy use per unit of GDP,Electricity,Kwh/000'rupees,9.01,8.81,8.62,8.55,8.65,8.59,8.98,8.77,8.91,8.74
,Supply Efficiency,Efficiency of energy conversion,All,%,21.50,20.63,20.17,19.90,19.69,19.57,19.83,18.35,16.78,16.22
,Supply Efficiency,Reserves-to-production ratio,All,years,175,178,180,182,180,190,211,194,195,187
,Supply Efficiency,Reserves-to-production ratio,coal,years,216,216,217,220,214,224,247,228,224,213
,Supply Efficiency,Reserves-to-production ratio,lignite,years,128,141,145,140,153,161,195,155,171,186
,Supply Efficiency,Resources-to-production ratio,All,years,420,411,410,404,391,414,435,399,382,356
,Production,Resources-to-production ratio,Crude oil,years,17,17,17,17,18,19,19,20,23,23
,Production,Resources-to-production ratio,Natural Gas,years,37,38,40,41,42,44,48,40,33,30
,Production,Resources-to-production ratio,Coal,years,503,483,479,472,448,471,492,452,423,390
,Production,Resources-to-production ratio,Lignite,years,914,1017,988,979,1033,1093,1214,969,1076,1102
,Production,Sectoral Energy Intensities,Industry,toe/000'rupees,0.00863,0.00801,0.00736,0.00732,0.00772,0.00764,0.00731,0.00630,0.00666,0.00679
Use and,Production,Sectoral Energy Intensities,Agriculture,toe/000'rupees,0.00096,0.00098,0.00100,0.00098,0.00103,0.00096,0.00096,0.00094,0.00093,0.00095
Production,Production,Sectoral Energy Intensities,Transport,toe/000'rupees,0.00785,0.00828,0.00875,0.00899,0.00920,0.00955,0.01010,0.00943,0.00988,0.01043
Pattern,End Use,Sectoral Electricity Intensities,Industry,Kwh/000'rupees,14.90,13.72,13.26,13.38,14.10,14.72,14.07,13.69,14.35,14.04
Pattern,End Use,Sectoral Electricity Intensities,Agriculture,Kwh/000'rupees,10.52,10.72,11.07,10.83,11.36,10.59,10.67,10.53,10.57,10.77
Pattern,End Use,Sectoral Electricity Intensities,Transport,Kwh/000'rupees,3.30,3.17,2.87,2.96,3.04,3.05,3.05,3.60,4.56,4.79
Pattern,End Use,Fuel shares in TPES,Crude Oil,%,36.08,36.38,37.32,36.44,34.99,34.75,32.67,31.79,31.95,29.83
Pattern,End Use,Fuel shares in TPES,Natural Gas,%,7.48,7.32,7.63,7.70,7.44,7.85,8.04,7.73,6.71,6.99
Pattern,End Use,Fuel shares in TPES,Coal,%,59.27,57.56,55.97,56.70,57.31,55.79,56.30,58.57,58.40,60.21
Pattern,End Use,Fuel shares in TPES,Nuclear,%,1.46,1.45,1.44,1.39,1.29,1.59,1.58,1.58,1.43,1.38
