Table 9.2 (A) Physical Supply Table for Energy for the year 2022-23
Unit: PHYSICAL SUPPLY TABLE (Unit:PJ) | Publication pages: 119

Energy from natural inputs: Natural resource inputs,Agriculture Mining& Forestry & Quarring Fishery (ISIC A),Production (Incl. household own account) & generaion of residuals Mining& Manufacturing Quarring Fishery (ISIC B),Production (Incl. household own account) & generaion of residuals Industries (by ISIC) Manufacturing Quarring Fishery (ISIC C),"Production (Incl. household own account) & generaion of residuals Industries (by ISIC) Electricity, Transportation & gas,steam & air conditioning supply (ISIC D)",Production (Incl. household own account) & generaion of residuals Transportation & Storage Industries air conditioning supply (ISIC M),Production (Incl. household own account) & generaion of residuals Households Other Industries air conditioning supply,Households Other Accumulation Flows Industries air conditioning supply,Accumulation Flows Flows from from the the rest of Environment the world (Imports),Flows from Total the Environment the world (Imports),Total Environment
Coal,,,,,,,,,15064,15064
Lignite,,,,,,,,,420,420
Crude Oil,,,,,,,,,1249,1249
Natural Gas,,,,,,,,,1334,1334
Nuclear,,,,,,,,,500,500
Inputs from RES,,,,,,,,,764,764
Hydro,,,,,,,,,585,585
Total,,,,,,,,,19916,19916
Coal,,15064,,,,,,5290,,20354
Lignite,,420,,,,,,0,,421
Crude Oil,,1249,,,,,,9957,,11206
Oil Products,,,11387,,,,,1872,,13258
Natural Gas,,1334,,,,,,1019,,2353
Electricity,,,,6589,,,,28,,6616
Total,0,18067,11387,6589,0,0,,18165,,54207
Distribution,,1118,,978,,,,,,2096
Extraction,,,,,,,,,,0
Other Losses (Coal Reject/other residuals),,,,,,,,,,0
Other Energy Residuals,901,745,3199,336,2721,15966,2486,,,26354
Total energy residuals,901,1864,3199,1314,2721,15966,2486,,,28450
,Residuals from end-use for non-energy purposes,,,,,,,,,0
TOTAL SUPPLY,901,19931,14586,7903,2721,15966,2486,18165,19916,102574

Note: Energy Products:
Note: Production of energy products by SIEC class:
Note: Energy Residuals:
Note: Other Residual Flows:
Note: Energy from solid waste
