Table 9.2 (B) Physical Use Table for Energy for the year 2022-23
Unit: PHYSICAL USE TABLE (Unit:PJ) Final Accumulation Export Statsitical Flows to the Total | Publication pages: 120

Energy from natural inputs: Natural resource inputs,Text 2,"Intermediate consumption, Use of energy resources, receipt of energy losses Agriculture Mining& Forestry & Quarring Fishery (ISIC A) (ISIC B)","Intermediate consumption, Use of energy resources, receipt of energy losses Mining& Manufacturing Quarring Fishery (ISIC B)","Intermediate consumption, Use of energy resources, receipt of energy losses Industries (by ISIC) Manufacturing Electricity, Quarring gas,steam Fishery & air conditioni ng supply (ISIC D) (ISIC C) (ISIC D)","Intermediate consumption, Use of energy resources, receipt of energy losses Industries (by ISIC) Electricity, Transportation gas,steam & Storage & air conditioni ng supply (ISIC D)","Intermediate consumption, Use of energy resources, receipt of energy losses Industries (by ISIC) Transportation Construction & Storage (ISIC M)","Intermediate consumption, Use of energy resources, receipt of energy losses Construction Other & Storage Industries","Intermediate consumption, Use of energy resources, receipt of energy losses Consumption Households Other Industries",Consumption Households,Consumption,Consumption (2),diff Environment,Environment,Environment (2)
Coal,,,15064,,,,,,,,,,,15064
Lignite,,,420,,,,,,,,,,,420
Crude Oil,,,1249,,,,,,,,,,,1249
Natural Gas,,,1334,,,,,,,,,,,1334
Nuclear,,,,,500,,,,,,,,,500
Inputs from RES,,,,,764,,,,,,,,,764
Hydro,,,,,585,,,,,,,,,585
Total,000,,18067,,1849,,,0,,,,,,19916
Coal,,,,,13304,,,,,,,,,13304
Lignite,,,,,372,,,,,,,,,372
Crude Oil,,,,10921,,,,,,,,,,10921
Oil Products,,,,,37,,,,,,,,,37
Natural Gas,,,,,316,,,,,,,,,316
Electricity,,,,,,,,,,,,,,0
Total Transformed Energy,,0,0,10921,14029,0,,0,,,,,,24950
Coal,,0,0,1744,,0,206,5265,0,-272,33,73,,7050
Lignite,,0,0,27,,0,14,34,0,17,3,-47,,49
Crude Oil,,,,,,,,1114,,,,-830,,284
Oil Products,,17,50,563,,2079,16,5570,1214,,2665,1047,,13221
Natural Gas,,6,695,864,,534,0,75,0,,0,-138,,2037
Electricity,,878,0,0,336,108,0,3906,1272,,50,66,,6616
Total End Use for Energy purpose,,901,745,3199,336,2721,236,15966,2486,-255,2751,171,,29257
,,End-use of energy products for non-energy purposes,,,,,,,,,,,,0
Distribution,,,,,,,,,,,,,2096,2096
Extraction,,,,,,,,,,,,,0,0
,,Other Losses (Coal Reject/other residuals),,,,,,,,,,,0,0
Other Energy Residuals,,,,,,,,,,,,,26354,26354
Total energy residuals,,,,,,,,,,,,,28450,28450
,,Residuals from end-use for non-energy purposes,,,,,,,,0,,,,0
Energy from solid waste,,,,,,,,,,,,,,0
TOTAL USE,,901,18812,14120,16215,2721,236,15966,2486,-255,2751,171,28450,102574

Note: Energy Products:
Note: Transformaton of energy products by SIEC class
Note: End-use of energy products by SIEC class:
Note: Energy Residuals:
Note: Other Residual Flows:
