Table 9.3 (A) Physical Supply Table for Energy for the year 2023-24 (P)
Unit: PHYSICAL SUPPLY TABLE (Unit:PJ) | Publication pages: 121

Energy from natural inputs: Natural resource inputs,Agriculture Mining& Forestry & Quarring Fishery (ISIC A),Production (Incl. household own account) & generaion of residuals Mining& Manufacturing Quarring Fishery (ISIC B),Production (Incl. household own account) & generaion of residuals Industries (by ISIC) Manufacturing Quarring Fishery conditioning (ISIC C),"Production (Incl. household own account) & generaion of residuals Industries (by ISIC) Electricity, Transportation gas,steam & air conditioning supply (ISIC D)",Production (Incl. household own account) & generaion of residuals Transportation & Storage Industries air conditioning supply (ISIC M),Production (Incl. household own account) & generaion of residuals Households Other Industries air conditioning supply,Households Other Accumulation Flows Industries air conditioning supply,Accumulation Flows Flows from from the the rest of Environment the world (Imports),Flows from Total the Environment,Total Environment
Coal,,,,,,,,,16906,16906
Lignite,,,,,,,,,410,410
Crude Oil,,,,,,,,,1256,1256
Natural Gas,,,,,,,,,1411,1411
Nuclear,,,,,,,,,523,523
Inputs from RES,,,,,,,,,849,849
Hydro,,,,,,,,,484,484
Total,,,,,,,,,21840,21840
Coal,,16906,,,,,,5930,,22836
Lignite,,410,,,,,,0,,410
Crude Oil,,1256,,,,,,10024,,11280
Oil Products,,,11810,,,,,2018,,13828
Natural Gas,,1411,,,,,,1231,,2643
Electricity,,,,7018,,,,24,,7041
Total,0,19983,11810,7018,0,0,,19228,,58039
Distribution,,1145,,1013,,,,,,2158
Extraction,,,,,,,,,,0
Other Losses (Coal Reject/other residuals),,,,,,,,,,0
Other Energy Residuals,945,928,3547,360,3012,17443,2603,,,28838
Total energy residuals,945,2073,3547,1373,3012,17443,2603,,,30995
Residuals from end-use for non-energy purposes,,,,,,,,,,0
TOTAL SUPPLY,945,22056,15357,8391,3012,17443,2603,19228,21840,110874

Note: Energy Products:
Note: Production of energy products by SIEC class:
Note: Energy Residuals:
Note: Other Residual Flows:
Note: Energy from solid waste
