Table 9.3 (B) Physical Use Table for Energy for the year 2023-24 (P)
Unit: PHYSICAL USE TABLE (Unit:PJ) Final Accumulation Export Statsitical Flows to the Total | Publication pages: 122

Energy from natural inputs: Natural resource inputs,Text 2,"Intermediate consumption, Use of energy resources, receipt of energy losses Agriculture Mining& Forestry & Quarring Fishery (ISIC A) (ISIC B)","Intermediate consumption, Use of energy resources, receipt of energy losses Mining& Manufacturing Electricity, Quarring Fishery (ISIC B)","Intermediate consumption, Use of energy resources, receipt of energy losses Industries (by ISIC) Manufacturing Electricity, Quarring gas,steam Fishery & air conditioni (ISIC C) (ISIC D)","Intermediate consumption, Use of energy resources, receipt of energy losses Industries (by ISIC) Manufacturing Electricity, Transportation & gas,steam Storage & air conditioni (ISIC D)","Intermediate consumption, Use of energy resources, receipt of energy losses Industries (by ISIC) Transportation & Construction Storage (ISIC M)","Intermediate consumption, Use of energy resources, receipt of energy losses Construction Other Storage Industries","Intermediate consumption, Use of energy resources, receipt of energy losses Consumption Households Other Industries",Consumption Households,Consumption,Consumption (2),diff Environment,Environment,Environment (2)
Coal,,,16906,,,,,,,,,,,16906
Lignite,,,410,,,,,,,,,,,410
Crude Oil,,,1256,,,,,,,,,,,1256
Natural Gas,,,1411,,,,,,,,,,,1411
Nuclear,,,,,523,,,,,,,,,523
Inputs from RES,,,,,849,,,,,,,,,849
Hydro,,,,,484,,,,,,,,,484
Total,00,0,19983,,1856,,,0,,,,,,21840
Coal,,,,,14635,,,,,,,,,14635
Lignite,,,,,341,,,,,,,,,341
Crude Oil,,,,11191,,,,,,,,,,11191
Oil Products,,,,,30,,,,,,,,,30
Natural Gas,,,,,352,,,,,,,,,352
Electricity,,,,,,,,,,,,,,0
Total Transformed Energy,,0,0,11191,15357,0,,0,,,,,,26548
Coal,,0,0,2004,,0,206,6203,0,-431,44,176,,8202
Lignite,,0,0,20,,0,5,41,0,-3,0,6,,69
Crude Oil,,,,,,,,1140,,,,-1052,,89
Oil Products,,21,63,559,,2296,24,5777,1253,,2735,1070,,13798
Natural Gas,,5,865,964,,597,0,100,0,,0,-240,,2291
Electricity,,918,0,0,360,119,0,4182,1350,,41,71,,7041
Total End Use for Energy purpose,,945,928,3547,360,3012,236,17443,2603,-434,2820,31,,31490
,,End-use of energy products for non-energy purposes,,,,,,,,,,,,0
Distribution,,,,,,,,,,,,,2158,2158
Extraction,,,,,,,,,,,,,0,0
,,Other Losses (Coal Reject/other residuals),,,,,,,,,,,0,0
Other Energy Residuals,,,,,,,,,,,,,28838,28838
Total energy residuals,,,,,,,,,,,,,30995,30995
,,Residuals from end-use for non-energy purposes,,,,,,,,0,,,,0
Energy from solid waste,,,,,,,,,,,,,,0
TOTAL USE,,945,20911,14738,17574,3012,236,17443,2603,-434,2820,31,30995,110874

Note: Energy Products:
Note: Transformaton of energy products by SIEC class
Note: End-use of energy products by SIEC class:
Note: Energy Residuals:
Note: Other Residual Flows:
