Conversion factors
Publication pages: 133

Quantity,Equivalent
1 kilogram,2.2046 pounds
1 Pound,454 gm.
1 Cubic metres,35.3 cubic feet (gas)
1 Metric ton,1 Tonne =1000 kilogram
1 Joule,0.23884 calories
1 Mega Joule,10^6 joules = 238.84 x 10^3 calories
1 Giga Joule,10^9 joules = 238.84 x 10^6 calories
1 Tera Joule,10^12 joules = 238.84 x 10^9 calories
1 Peta Joule,10^15 joules = 238.84 x 10^12 calories
One million tonnes of Coal,16.94 petajoules of energy
One million tonnes of Lignite,9.546 petajoules of energy
One million tonnes of oil equivalent (MTOE),42.789 petajoules of energy
One billion cubic meter of natural gas,38.735 petajoules of energy
One million cubic meter of natural gas,38.735 terajoules of energy
One billion-kilowatt hour of electricity,3.60 petajoules of energy
