Conversion Factors of Crude Oil/Petroleum Products used in the publication
Publication pages: 134

Products,2012-13 to 2020-21 KJ/Kg,Toe/Metric KJ/Kg,Toe/Metric KJ/Kg (2),2021-22 to 2023-24 Toe/Metric
Crude Oil,42789,Tonnes 1.022,42789,Tonnes 1.022
LPG,47300,1.130,47300,1.130
Naphtha,45000,1.075,45000,1.075
Kerosene,41564.4,0.993,43752,1.045
Diesel Oil(HSD+ LDO),43300,1.034,43334,1.035
Fuel Oil,39178,0.936,41240,0.985
Lubricants,42000,1.003,42000,1.003
Bitumin,39000,0.931,39000,0.931
Petrol/Motor Spirit,44800,1.070,44800,1.070
ATF,44600,1.065,44600,1.065
Petroleum Coke,32000,0.764,32000,0.764
Other Petroleum Products,40000,0.955,40193,0.960
