Table-III: Energy Balance of India for 2014-15 (Final)
Unit: All figures in KToE | Publication pages: 141

Item,Coal # Crude Oil Oil Products Natural Gas Nuclear,Crude Oil Oil Products Natural Gas Nuclear,Crude Oil Oil Products Natural Gas Nuclear (2),Crude Oil Oil Products Natural Gas Nuclear (3),Crude Oil Oil Products Natural Gas Nuclear Hydro,"Solar, Wind, Hydro","Solar, Wind, Hydro Electricity Others",Electricity,Total
Production,274301,38285,0,30960,9408,11127,6555,0,370637
Imports,110187,193602,20887,17115,0,0,0,431,342222
Exports,-835,0,-66210,0,0,0,0,-381,-67426
Stock changes,-2742,0,0,0,0,0,0,0,-2742
Total primary energy supply,380911,231887,-45323,48075,9408,11127,6555,49,642690
Statistical differences,7464,14323,-11424,645,0,0,0,-1255,9753
Main activity producer electricity plants,-215967,0,-1187,-9861,-9408,-11115,-6326,96049,-157815
Autoproducer electricity plants,0,0,0,0,0,-12,-228,13937,13696
Oil refineries,0,-228153,225063,0,0,0,0,0,-3090
Energy industry own use,0,0,0,-15109,0,0,0,-6559,-21668
Losses,0,-18058,0,-93,0,0,0,-20649,-38800
Final consumption,172407,0,167129,23657,0,0,0,81573,444767
Industry,172407,0,33543,490,0,0,0,35978,242418
Iron and steel,38943,0,823,0,0,0,0,0,39766
Chemical and petrochemical,1421,0,11251,0,0,0,0,0,12672
Non-ferrous metals,0,0,244,0,0,0,0,0,244
Machinery,0,0,112,0,0,0,0,0,112
Mining and quarrying,0,0,1078,0,0,0,0,0,1078
"Paper, pulp and print",1015,0,0,0,0,0,0,0,1015
Construction,6466,0,433,0,0,0,0,0,6899
Textile and leather,877,0,127,0,0,0,0,0,1004
Non-specified (industry),123686,0,19473,490,0,0,0,35978,179627
Transport,0,0,31798,5304,0,0,0,1391,38493
Road,0,0,22243,4981,0,0,0,0,27224
Domestic aviation,0,0,6098,0,0,0,0,0,6098
Rail,0,0,2787,0,0,0,0,1391,4178
Pipeline transport,0,0,0,322,0,0,0,0,322
Domestic navigation,0,0,670,0,0,0,0,0,670
Non-specified (transport),0,0,0,0,0,0,0,0,0
Other,0,0,101788,1091,0,0,0,44204,147083
Residential,0,0,24989,0,0,0,0,18697,43685
Commercial and public services,0,0,60,0,0,0,0,6742,6801
Agriculture/forestry,0,0,655,166,0,0,0,14527,15347
Non-specified (other),0,0,76085,925,0,0,0,4239,81249
Non-energy use,0,0,0,16772,0,0,0,0,16772
Non-energy use industry/transformation/energy,0,0,0,16772,0,0,0,0,16772
Non-energy use in transport,0,0,0,0,0,0,0,0,0
Non-energy use in other,0,0,0,0,0,0,0,0,0
Elect. output in GWh,0,0,0,0,"36,102 129,388",,76220,0,241710
Elec output-main activity producer ele plants,0,0,0,0,36102,129244,73563,0,238908
Elec output-autoproducer electricity plants,0,0,0,0,0,145,2656,0,2801

Note: Final consumption refers to End Use Consumption
Note: # Includes lignite
