Table-II: Energy Balance of India for 2013-14 (Final)
Unit: All figures in KToE | Publication pages: 140

Item,Coal # Crude Oil Oil Products Natural Gas Nuclear,Crude Oil Oil Products Natural Gas Nuclear,Crude Oil Oil Products Natural Gas Nuclear (2),Crude Oil Oil Products Natural Gas Nuclear (3),Crude Oil Oil Products Natural Gas Nuclear Hydro,"Solar, Wind, Hydro","Solar, Wind, Hydro Electricity Others",Electricity,Total
Production,256931,38620,0,32569,8920,11608,5798,0,354446
Imports,83250,193401,16637,16374,0,0,0,481,310144
Exports,-1474,0,-69891,0,0,0,0,-142,-71507
Stock changes,4481,0,0,0,0,0,0,0,4481
Total primary energy supply,343188,232021,-53254,48943,8920,11608,5798,339,597564
Statistical differences,6308,13632,-9923,1325,0,0,0,-1091,10251
Main activity producer electricity plants,-194980,0,-1390,-10379,-8920,-11597,-5635,88292,-144609
Autoproducer electricity plants,0,0,0,0,0,-11,-164,12813,12638
Oil refineries,0,-227391,224632,0,0,0,0,0,-2760
Energy industry own use,0,0,0,-15669,0,0,0,-6034,-21703
Losses,0,-18261,0,-62,0,0,0,-19137,-37460
Final consumption,154516,0,160065,24158,0,0,0,75182,413921
Industry,154516,0,31466,240,0,0,0,33060,219282
Iron and steel,37649,0,771,0,0,0,0,0,38419
Chemical and petrochemical,1389,0,11431,0,0,0,0,0,12820
Non-ferrous metals,0,0,250,0,0,0,0,0,250
Machinery,0,0,122,0,0,0,0,0,122
Mining and quarrying,0,0,943,0,0,0,0,0,943
"Paper, pulp and print",1297,0,0,0,0,0,0,0,1297
Construction,8957,0,390,0,0,0,0,0,9346
Textile and leather,357,0,104,0,0,0,0,0,460
Non-specified (industry),104869,0,17457,240,0,0,0,33060,155625
Transport,0,0,28023,5773,0,0,0,1336,35133
Road,0,0,18767,5431,0,0,0,0,24198
Domestic aviation,0,0,5865,0,0,0,0,0,5865
Rail,0,0,2724,0,0,0,0,1336,4060
Pipeline transport,0,0,0,342,0,0,0,0,342
Domestic navigation,0,0,667,0,0,0,0,0,667
Non-specified (transport),0,0,0,0,0,0,0,0,0
Other,0,0,100575,1083,0,0,0,40786,142444
Residential,0,0,23239,0,0,0,0,17186,40426
Commercial and public services,0,0,107,0,0,0,0,6385,6492
Agriculture/forestry,0,0,520,180,0,0,0,13136,13836
Non-specified (other),0,0,76710,903,0,0,0,4078,81691
Non-energy use,0,0,0,17062,0,0,0,0,17062
Non-energy use industry/transformation/energy,0,0,0,17062,0,0,0,0,17062
Non-energy use in transport,0,0,0,0,0,0,0,0,0
Non-energy use in other,0,0,0,0,0,0,0,0,0
Elect. output in GWh,0,0,0,0,"34,228 134,977",,67422,0,236627
Elec output-main activity producer ele plants,0,0,0,0,34228,134848,65520,0,234595
Elec output-autoproducer electricity plants,0,0,0,0,0,129,1903,0,2032

Note: Final consumption refers to End Use Consumption
Note: # Includes lignite
