Table-IV: Energy Balance of India for 2015-16 (Final)
Unit: All figures in KToE | Publication pages: 142

Item,Coal # Crude Oil Oil Products Natural Gas Nuclear,Crude Oil Oil Products Natural Gas Nuclear,Crude Oil Oil Products Natural Gas Nuclear (2),Crude Oil Oil Products Natural Gas Nuclear (3),Crude Oil Oil Products Natural Gas Nuclear Hydro,"Solar, Wind, Hydro","Solar, Wind, Hydro Electricity Others",Electricity,Total
Production,285600,37754,0,29665,9750,10448,5833,0,379050
Imports,107058,207313,28362,19674,0,0,0,451,362859
Exports,-1061,0,-62952,0,0,0,0,-443,-64456
Stock changes,-3836,0,0,0,0,0,0,0,-3836
Total primary energy supply,387761,245067,-34590,49339,9750,10448,5833,8,673617
Statistical differences,4999,12106,-14566,144,0,0,0,-1264,1421
Main activity producer electricity plants,-223875,0,-898,-10017,-9750,-10438,-5657,100412,-160223
Autoproducer electricity plants,0,0,0,0,0,-9,-176,14480,14295
Oil refineries,0,-237987,236171,0,0,0,0,0,-1817
Energy industry own use,0,0,0,-13812,0,0,0,-6820,-20632
Losses,0,-19186,0,-108,0,0,0,-20714,-40008
Final consumption,168885,0,186117,25547,0,0,0,86102,466651
Industry,168885,0,41446,502,0,0,0,36423,247256
Iron and steel,34122,0,962,0,0,0,0,0,35085
Chemical and petrochemical,1379,0,12239,0,0,0,0,0,13618
Non-ferrous metals,0,0,226,0,0,0,0,0,226
Machinery,0,0,188,0,0,0,0,0,188
Mining and quarrying,0,0,1276,0,0,0,0,0,1276
"Paper, pulp and print",735,0,0,0,0,0,0,0,735
Construction,4907,0,732,0,0,0,0,0,5640
Textile and leather,534,0,113,0,0,0,0,0,647
Non-specified (industry),127208,0,25710,502,0,0,0,36423,189843
Transport,0,0,36562,5403,0,0,0,1427,43392
Road,0,0,26376,5026,0,0,0,0,31402
Domestic aviation,0,0,6672,0,0,0,0,0,6672
Rail,0,0,2821,0,0,0,0,1427,4249
Pipeline transport,0,0,0,377,0,0,0,0,377
Domestic navigation,0,0,693,0,0,0,0,0,693
Non-specified (transport),0,0,0,0,0,0,0,0,0
Other,0,0,108109,866,0,0,0,48252,157227
Residential,0,0,26012,0,0,0,0,20543,46555
Commercial and public services,0,0,63,0,0,0,0,7399,7463
Agriculture/forestry,0,0,714,172,0,0,0,14894,15780
Non-specified (other),0,0,81320,694,0,0,0,5416,87430
Non-energy use,0,0,0,18776,0,0,0,0,18776
Non-energy use industry/transformation/energy,0,0,0,18776,0,0,0,0,18776
Non-energy use in transport,0,0,0,0,0,0,0,0,0
Non-energy use in other,0,0,0,0,0,0,0,0,0
Elect. output in GWh,0,0,0,0,"37,414 121,487",,67827,0,226727
Elec output-main activity producer ele plants,0,0,0,0,37414,121377,65781,0,224571
Elec output-autoproducer electricity plants,0,0,0,0,0,110,2046,0,2156

Note: Final consumption refers to End Use Consumption
Note: # Includes lignite
