Table-IX: Energy Balance of India for 2020-21 ( Final )
Unit: All figures in KToE | Publication pages: 147

Item,Coal # Crude Oil Oil Products Natural Gas Nuclear,Crude Oil Oil Products Natural Gas Nuclear,Crude Oil Oil Products Natural Gas Nuclear (2),Crude Oil Oil Products Natural Gas Nuclear (3),Crude Oil Oil Products Natural Gas Nuclear Hydro,"Solar, Wind, Hydro","Solar, Wind, Hydro Electricity Others",Electricity,Total
Production,297775,31165,0,26522,11214,12955,13279,0,392909
Imports,115541,200783,42915,30554,0,0,0,821,390614
Exports,-2026,0,-59090,0,0,0,0,-823,-61939
Stock changes,-11521,0,0,0,0,0,0,0,-11521
Total primary energy supply,399768,231947,-16174,57076,11214,12955,13279,-2,710062
Statistical differences,16570,18012,-23136,194,0,0,0,-1285,10356
Main activity producer electricity plants,-243521,0,-769,-10023,-11214,-12926,-12663,118094,-173021
Autoproducer electricity plants,0,0,0,0,0,-29,-616,19335,18690
Oil refineries,0,-226652,237827,0,0,0,0,0,11175
Energy industry own use,0,0,0,-16844,0,0,0,-6921,-23765
Losses,0,-23308,0,-62,0,0,0,-23424,-46794
Final consumption,172818,0,197748,30341,0,0,0,105798,506704
Industry,172818,0,47051,513,0,0,0,43755,264137
Iron and steel,36805,0,984,0,0,0,0,0,37790
Chemical and petrochemical,806,0,12923,0,0,0,0,0,13729
Non-ferrous metals,0,0,348,0,0,0,0,0,348
Machinery,0,0,149,0,0,0,0,0,149
Mining and quarrying,0,0,1792,0,0,0,0,0,1792
"Paper, pulp and print",680,0,0,0,0,0,0,0,680
Construction,3860,0,1256,0,0,0,0,0,5116
Textile and leather,108,0,57,0,0,0,0,0,165
Non-specified (industry),130558,0,29542,513,0,0,0,43755,204368
Transport,0,0,38331,8944,0,0,0,1261,48537
Road,0,0,31608,8538,0,0,0,0,40146
Domestic aviation,0,0,3941,0,0,0,0,0,3941
Rail,0,0,1264,0,0,0,0,1261,2526
Pipeline transport,0,0,0,406,0,0,0,0,406
Domestic navigation,0,0,1517,0,0,0,0,0,1517
Non-specified (transport),0,0,0,0,0,0,0,0,0
Other,0,0,112365,996,0,0,0,60782,174143
Residential,0,0,29963,0,0,0,0,28450,58413
Commercial and public services,0,0,68,0,0,0,0,7478,7546
Agriculture/forestry,0,0,719,164,0,0,0,19032,19915
Non-specified (other),0,0,81615,832,0,0,0,5822,88269
Non-energy use,0,0,0,19887,0,0,0,0,19887
Non-energy use industry/transformation/energy,0,0,0,19887,0,0,0,0,19887
Non-energy use in transport,0,0,0,0,0,0,0,0,0
Non-energy use in other,0,0,0,0,0,0,0,0,0
Elect. output in GWh,0,0,0,0,"43,029 150,639",,154405,0,348073
Elec output-main activity producer ele plants,0,0,0,0,43029,150300,147248,0,340576
Elec output-autoproducer electricity plants,0,0,0,0,0,339,7158,0,7497

Note: Final consumption refers to End Use Consumption
Note: # Includes lignite
