Table-I : Energy Balance of India for 2012-13 ( Final )
Unit: All figures in KToE | Publication pages: 139

Item,Coal # Crude Oil Oil Products Natural Gas Nuclear,Crude Oil Oil Products Natural Gas Nuclear,Crude Oil Oil Products Natural Gas Nuclear (2),Crude Oil Oil Products Natural Gas Nuclear (3),Crude Oil Oil Products Natural Gas Nuclear Hydro,"Solar, Wind, Hydro","Solar, Wind, Hydro Electricity Others",Electricity,Total
Production,253773,38693,0,37420,8565,9790,5091,0,353332
Imports,74275,188860,16426,16203,0,0,0,412,296176
Exports,-1661,0,-60505,0,0,0,0,-13,-62180
Stock changes,,,,,,,,,6274
,6274,0,0,0,0,0,0,0,
Total primary energy supply,332660,227553,-44080,53623,8565,9790,5091,399,593601
Statistical differences,3973,15231,-17207,966,0,0,0,-1075,1889
Main activity producer electricity plants,-194267,0,-1696,-14789,-8565,-9780,-4941,82946,-151092
Autoproducer electricity plants,0,0,0,0,0,-10,-151,12385,12224
Oil refineries,0,-224034,221619,0,0,0,0,0,-2415
Energy industry own use,0,0,0,-15883,0,0,0,-5513,-21396
Losses,0,-18751,0,-28,0,0,0,-18252,-37030
Final consumption,142366,0,158636,23889,0,0,0,70890,395782
Industry,142366,0,32835,248,0,0,0,31475,206924
Iron and steel,38213,0,943,0,0,0,0,0,39156
Chemical and petrochemical,1505,0,12581,0,0,0,0,0,14086
Non-ferrous metals,0,0,249,0,0,0,0,0,249
Machinery,0,0,275,0,0,0,0,0,275
Mining and quarrying,0,0,1124,0,0,0,0,0,1124
"Paper, pulp and print",1273,0,0,0,0,0,0,0,1273
Construction,8403,0,834,0,0,0,0,0,9237
Textile and leather,951,0,287,0,0,0,0,0,1237
Non-specified (industry),92022,0,16543,248,0,0,0,31475,140288
Transport,0,0,28302,5672,0,0,0,1213,35187
Road,0,0,19373,5317,0,0,0,0,24690
Domestic aviation,0,0,5616,0,0,0,0,0,5616
Rail,0,0,2628,0,0,0,0,1213,3841
Pipeline transport,0,0,0,356,0,0,0,0,356
Domestic navigation,0,0,685,0,0,0,0,0,685
Non-specified (transport),0,0,0,0,0,0,0,0,0
Other,0,0,97499,1112,0,0,0,38202,136814
Residential,0,0,22624,0,0,0,0,15798,38422
Commercial and public services,0,0,37,0,0,0,0,6260,6297
Agriculture/forestry,0,0,718,168,0,0,0,12682,13567
Non-specified (other),0,0,74120,945,0,0,0,3462,78527
Non-energy use,0,0,0,16856,0,0,0,0,16856
Non-energy use industry/transformation/energy,0,0,0,16856,0,0,0,0,16856
Non-energy use in transport,0,0,0,0,0,0,0,0,0
Non-energy use in other,0,0,0,0,0,0,0,0,0
Elect. output in GWh,0,0,0,0,"32,866 113,838",,59199,0,205904
Elec output-main activity producer ele plants,0,0,0,0,32866,113720,57449,0,204035
Elec output-autoproducer electricity plants,0,0,0,0,0,118,1750,0,1869

Note: Final consumption refers to End Use Consumption
Note: # Includes lignite
